นิติบุคคลจัดตั้งเดือนเมษายน  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน", ทุนจดทะเบียน ,รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
14,0453558000575,หจ.101 เกษตรเคมีภัณฑ์,23/4/2558," 1,000,000 ",ขายส่งปุ๋ยและเคมีภัณฑ์ทางการเกษตร,403 หมู่ที่ 1  ต.เกษตรวิสัย อ.เกษตรวิสัย จ.ร้อยเอ็ด 45150
15,0455558000232,บจ.ร้อยเอ็ดธาราทิพย์ จำกัด,17/4/2558," 1,000,000 ",โรงงานผลิตน้ำแข็ง น้ำดื่ม,199 หมู่ที่ 4  ต.หนองไผ่ อ.ธวัชบุรี จ.ร้อยเอ็ด 45170
16,0453558000613,หจ.เค.ดับบลิว.ซี. กรุ๊ป,24/4/2558," 1,000,000 ",ขายกระแสไฟฟ้า,109 หมู่ที่ 8  ต.ดู่น้อย อ.จตุรพักตรพิมาน จ.ร้อยเอ็ด 45180
17,0455558000224,บจ.เอ็กซานิโม จำกัด,7/4/2558," 250,000 ",ให้บริการขนส่งทางรถ เช่น รถตู้ รถเมล์ รถประจำทาง,56 หมู่ที่ 4  ต.หัวช้าง อ.จตุรพักตรพิมาน จ.ร้อยเอ็ด 45180
18,0453558000559,หจ.ศักดิ์ชัยพานิชย์29,20/4/2558," 150,000 ",ประกอบธุรกิจเป็นผู้บริหารงานเกี่ยวกับด้านพาณิชยกรรม อุตสาหกรรม  การตลาดและการจัดจำหน่าย,39 หมู่ที่ 6  ต.หนองขุ่นใหญ่ อ.หนองพอก จ.ร้อยเอ็ด 45210
19,0453558000621,หจ.ร้อยเอ็ด เซ็นเตอร์ เคลม เซอร์วิส,24/4/2558," 100,000 ",รับจ้างสำรวจภัย ตรวจสอบอุบัติเหตุต่างๆ,352 หมู่ที่ 11 ถนนร้อยเอ็ด-กาฬสินธุ์  ต.เหนือเมือง อ.เมืองร้อยเอ็ด จ.ร้อยเอ็ด 45000
1,0463558000371,หจ.คลังเกษตรยนต์,17/4/2558," 3,000,000 ",ประกอบก่ิจการซื้อ จัดหา  รับ เช่า เช่าซื้อ ถือกรรมสิทธิ์ ครอบครอง ปรับปรุง ใช้ และจัดการโดยประการอื่,279/1 หมู่ที่ 10  ต.บัวขาว อ.กุฉินารายณ์ จ.กาฬสินธุ์ 46110
2,0463558000401,หจ.ไทยซีเคว้นซ์ซัพพลาย ห้วยผึ้ง,21/4/2558," 3,000,000 ",ประกอบธุรกิจบริการรับค้ำประกันหนี้สิน ความรับผิด และการปฏิบัติตามสัญญาของบุคคลอื่นรวม,195 หมู่ที่ 12  ต.นิคมห้วยผึ้ง อ.ห้วยผึ้ง จ.กาฬสินธุ์ 46240
3,0463558000435,หจ.โตวัน,27/4/2558," 2,500,000 ",ประกอบกิจการรับเหมาก่อสร้าง,230 หมู่ที่ 3  ต.สามขา อ.กุฉินารายณ์ จ.กาฬสินธุ์ 46110
4,0463558000362,หจ.บุณธิดาการโยธา2015,10/4/2558," 2,500,000 ",ประกอบกิจการรับเหมาก่อสร้าง,133 หมู่ที่ 7  ต.คำเหมือดแก้ว อ.ห้วยเม็ก จ.กาฬสินธุ์ 46170
5,0465558000089,บจ.แอดไวซ์สมเด็จ จำกัด,22/4/2558," 1,500,000 ",ร้านขายปลีกคอมพิวเตอร์และอุปกรณ์ต่อพ่วงควมพิวเตอร์,54 หมู่ที่ 4 ถนนถีนานนท์  ต.สมเด็จ อ.สมเด็จ จ.กาฬสินธุ์ 46150
6,0465558000062,บจ.เอ็นทีเอ็น กรุ๊ป จำกัด,2/4/2558," 1,200,000 ",ประกอบกิจการนำเข้าและส่งออกสินค้าทางเการเกษตรทุกชนิด,211 หมู่ที่ 4  ต.หนองกุงศรี อ.หนองกุงศรี จ.กาฬสินธุ์ 46220
7,0463558000427,หจ.กฤษภัทร คอร์ปอเรชั่น,27/4/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้างอาคารอาคารพาณิชย์อาคารที่พักอาศัยสถานที่ทำการ,18 หมู่ที่ 10  ต.ภูดิน อ.เมืองกาฬสินธุ์ จ.กาฬสินธุ์ 46000
8,0463558000443,หจ.เด่นดวงเดือน,27/4/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,118 หมู่ที่ 2  ต.ลำพาน อ.เมืองกาฬสินธุ์ จ.กาฬสินธุ์ 46000
9,0463558000451,หจ.พุทโธ ธัมโม สังโฆ,28/4/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,254 หมู่ที่ 5  ต.บัวขาว อ.กุฉินารายณ์ จ.กาฬสินธุ์ 46110
10,0463558000397,หจ.โคกก่อง  คอนสตรัคชั่น,20/4/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,30 หมู่ที่ 7  ต.บัวบาน อ.ยางตลาด จ.กาฬสินธุ์ 46120
11,0463558000389,หจ.ส.สิงห์  การก่อสร้าง,20/4/2558," 500,000 ",ประกอบกิจการรับเหมาก่อสร้าง,181 หมู่ที่ 4  ต.ดงลิง อ.กมลาไสย จ.กาฬสินธุ์ 46130
12,0463558000419,หจ.นราพร การเกษตร,23/4/2558," 500,000 ",ประกอบกิจการแปรรูปพืชผลทางการเกษตรครบวงจร,12 หมู่ที่ 1  ต.ไค้นุ่น อ.ห้วยผึ้ง จ.กาฬสินธุ์ 46240
13,0465558000071,บจ.ริชอินแฮปปี้เนส จำกัด,16/4/2558," 100,000 ",ให้บริการปรึกษาการขายสินค้าและการให้บริการจัดอบรมเกี่ยวกับการขายสินค้า,276 หมู่ที่ 16  ต.ลำพาน อ.เมืองกาฬสินธุ์ จ.กาฬสินธุ์ 46000
1,0473558000338,หจ.กิจไพศาลคอนสตรัคชั่น2015,20/4/2558," 5,000,000 ",ประกอบกิจการรับเหมาก่อสร้างอาคาร อาคารที่พักอาศัย,367 หมู่ที่ 2 ถนนนิตโย  ต.พรรณา อ.พรรณานิคม จ.สกลนคร 47130
2,0473558000354,หจ.เอเซีย สกลนคร กรุ๊ป,28/4/2558," 2,000,000 ",ประกอบกิจการจัดมหรสพ แสดง แสงสีเสียง จัดสถานที่งานต่างๆจัดขบวนแห่,228 หมู่ที่ 15  ต.งิ้วด่อน อ.เมืองสกลนคร จ.สกลนคร 47000
3,0473558000311,หจ.ดวงสุภาก่อสร้าง,9/4/2558," 2,000,000 ",ประกอบกิจการรับเหมาก่อสร้างอาคาร อาคารพาณิชย์อาคารที่พักอาศัยสถานที่ทำการงานก่อสร้าง,34 หมู่ที่ 12  ต.โพนแพง อ.อากาศอำนวย จ.สกลนคร 47170
4,0475558000275,บจ.คูโบต้า อาร์เอ็มจี นครพนม จำกัด,1/4/2558," 1,000,000 ","จำหน่ายเครื่องมือ,เครื่องใช้ทางการเกษตร",222/29 ถนนนิตโย  ต.ธาตุเชิงชุม อ.เมืองสกลนคร จ.สกลนคร 47000
5,0473558000290,หจ.พรนภา 2558,9/4/2558," 1,000,000 ",ประกอบกิจการติดตั้งกระจกอลูมิเนียม,120/4 หมู่ที่ 3 ถนนเดื่อเจริญ  ต.วานรนิวาส อ.วานรนิวาส จ.สกลนคร 47120
6,0473558000303,หจ.ที.เอ็ม.ที. ทรานสปอร์ต,9/4/2558," 1,000,000 ",ส่งออกสินค้าทางการเกษตร,84 หมู่ที่ 3  ต.พังโคน อ.พังโคน จ.สกลนคร 47160
7,0475558000283,บจ.สยามดราก้อน กรุ๊ป จำกัด,8/4/2558," 1,000,000 ",ประกอบกิจการผลิตและจำหน่ายส่ง-ปลีกนำเข้าส่งออกผลิตภัณฑ์เครื่องดื่มและอาหารเสริมเพื่อสุขภาพทุกประเภท,688/9 หมู่ที่ 1  ต.พังโคน อ.พังโคน จ.สกลนคร 47160
8,0473558000346,หจ.เอส.บี.พี.9 ดีเวลลอปเม้นท์,23/4/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้างอาคาร อาคารพาณิชย์,80 หมู่ที่ 2  ต.คำตากล้า อ.คำตากล้า จ.สกลนคร 47250
9,0473558000320,หจ.สามแสงทรานสปอร์ต,10/4/2558," 1,000,000 ",บริการขนส่งสินค้า,46 หมู่บ้านโนนคำพัฒนา หมู่ที่ 10 ถนนสว่าง-นาบัว  ต.เจริญศิลป์ อ.เจริญศิลป์ จ.สกลนคร 47290
10,0473558000362,หจ.ณัฐมุณีฬทรัพย์รุ่งเรือง,29/4/2558," 1,000,000 ",การก่อสร้างอาคาร,84 หมู่ที่ 5  ต.ทุ่งแก อ.เจริญศิลป์ จ.สกลนคร 47290
1,0485558000160,บจ.รวมกิจ 2015 จำกัด,8/4/2558," 3,000,000 ",รับเหมาก่อสร้าง,75 ถนนนิตโย  ต.ในเมือง อ.เมืองนครพนม จ.นครพนม 48000
2,0485558000194,บจ.สยามโภคิณก่อสร้าง จำกัด,28/4/2558," 3,000,000 ",รับเหมาก่อสร้าง,216/21 ถนนนิตโย  ต.ในเมือง อ.เมืองนครพนม จ.นครพนม 48000
3,0483558000257,หจ.อั่งเปา วรพลก่อสร้าง,23/4/2558," 1,900,000 ",รับเหมาก่อสร้าง,3/4 ซอยประชาสามัคคี ถนนนครพนม-ท่าอุเทน  ต.อาจสามารถ อ.เมืองนครพนม จ.นครพนม 48000
4,0483558000231,หจ.ทัศนีย์ เพิ่มพูนทรัพย์ก่อสร้าง,23/4/2558," 1,200,000 ",รับเหมาก่อสร้าง,70 หมู่ที่ 3  ต.พระซอง อ.นาแก จ.นครพนม 48130
5,0483558000214,หจ.ที.เค. 2558,2/4/2558," 1,000,000 ",รับเหมาก่อสร้าง,76 หมู่ที่ 10  ต.อาจสามารถ อ.เมืองนครพนม จ.นครพนม 48000
6,0483558000249,หจ.999เฮงเจริญการค้า,23/4/2558," 1,000,000 ",รับเหมาก่อสร้าง,90 หมู่ที่ 1  ต.ขามเฒ่า อ.เมืองนครพนม จ.นครพนม 48000
7,0485558000143,บจ.เจริญ ไลท์ติ้ง 2015 จำกัด,2/4/2558," 1,000,000 ",สั่งเข้ามาจำหน่ายในประเทศและส่งออกไปจำหน่ายยังต่างประเทศซึ่งสินค้าตามที่กำหนดไว้ในวัตถุประสงค์,251/1 ถนนบำรุงเมือง  ต.ในเมือง อ.เมืองนครพนม จ.นครพนม 48000
8,0485558000186,บจ.โกญจนาทการโยธา จำกัด,28/4/2558," 1,000,000 ",รับเหมาก่อสร้าง,403 ถนนนิตโย  ต.หนองญาติ อ.เมืองนครพนม จ.นครพนม 48000
9,0485558000208,บจ.เทพอินทรีย์ กรุ๊ป จำกัด,29/4/2558," 1,000,000 ",ขายส่งปุ๋ยและเคมีภัณฑ์ทางการเกษตร,109 ถนนกูบาถวาย  ต.หนองแสง อ.เมืองนครพนม จ.นครพนม 48000
10,0485558000216,บจ.อีซี่ สมายล์ ดีเวลลอปเมนท์ จำกัด,29/4/2558," 1,000,000 ",ซื้อขายแลกเปลี่ยนอสังหาริมทรัพย์,80 หมู่ที่ 8  ต.นาทราย อ.เมืองนครพนม จ.นครพนม 48000
11,0483558000206,หจ.บุญสยุมภู,1/4/2558," 1,000,000 ",ประกอบกิจการค้า ผลิตและแปรรูปยางพารา,20/2 หมู่ที่ 10  ต.ท่าจำปา อ.ท่าอุเทน จ.นครพนม 48120
12,0483558000273,หจ.เพชรสีนิล,27/4/2558," 1,000,000 ",ขายถ่านอัดแท่งจากวัสดุเหลือใช้จากการเกษตร,7 หมู่ที่ 13  ต.โนนตาล อ.ท่าอุเทน จ.นครพนม 48120
13,0483558000281,หจ.วงค์ศรีชา ก่อสร้าง,28/4/2558," 1,000,000 ",รับเหมาก่อสร้าง,120 หมู่ที่ 8  ต.นาคู่ อ.นาแก จ.นครพนม 48130
14,0485558000151,บจ.การท่องเที่ยวสยาม จำกัด,3/4/2558," 1,000,000 ",ประกอบกิจการนำเที่ยว,116 หมู่ที่ 12  ต.หนองบ่อ อ.นาแก จ.นครพนม 48130
15,0485558000178,บจ.นิว อิเล็กทริคอล เพาเวอร์ จำกัด,21/4/2558," 1,000,000 ",รับเหมาก่อสร้าง,118 หมู่ที่ 4  ต.บ้านเหล่าพัฒนา อ.นาหว้า จ.นครพนม 48180
16,0483558000222,หจ.รัชดาภรณ์ นครพนม,20/4/2558," 800,000 ",รับเหมาก่อสร้าง,35 หมู่ที่ 3  ต.โคกหินแฮ่ อ.เรณูนคร จ.นครพนม 48170
17,0483558000192,หจ.วิเจริญก่อสร้าง,1/4/2558," 600,000 ",รับเหมาก่อสร้าง,38 หมู่ที่ 3  ต.หนองโพธิ์ อ.วังยาง จ.นครพนม 48130
18,0483558000290,หจ.อมรทิพย์ คอนสตรัคชั่น,29/4/2558," 300,000 ",รับเหมาก่อสร้าง,83 หมู่ที่ 2  ต.ดอนนางหงส์ อ.ธาตุพนม จ.นครพนม 48110
19,0483558000265,หจ.เจริญธุรกิจการก่อสร้าง,27/4/2558," 200,000 ",รับเหมาก่อสร้าง,72 หมู่ที่ 1  ต.โคกสว่าง อ.ปลาปาก จ.นครพนม 48160
1,0495558000160,บจ.มุกดาหาร ดิวตี้ฟรี จำกัด,21/4/2558," 2,000,000 ",ประกอบกิจการร้านค้าปลอดอากร(จำหน่ายเหล้า บุหรี่ ไวน์ น้ำหอม),307 หมู่ที่ 3  ต.บางทรายใหญ่ อ.เมืองมุกดาหาร จ.มุกดาหาร 49000
2,0493558000273,หจ.เอส.เอ็ม.เซอร์วิส เซ็นเตอร์,20/4/2558," 1,000,000 ",ประกอบกิจการจำหน่ายโทรศัพท์มือถือ อะไหล่และอุปกรณ์ทุกชนิด ทั้งปลีกและส่ง,70/25 ถนนมุกดาหาร-ดอนตาล  ต.ศรีบุญเรือง อ.เมืองมุกดาหาร จ.มุกดาหาร 49000
3,0493558000281,หจ.ชัยนคร ก่อสร้าง,27/4/2558," 1,000,000 ",รับเหมาก่อสร้างทั่วไป,3 ซอยมัฆวาน ถนนเมืองใหม่  ต.มุกดาหาร อ.เมืองมุกดาหาร จ.มุกดาหาร 49000
4,0493558000290,หจ.แสนเมืองชัย ก่อสร้าง,27/4/2558," 1,000,000 ",รับเหมาก่อสร้างทั่วไป,44 หมู่บ้านเหล่าคาม หมู่ที่ 12  ต.คำอาฮวน อ.เมืองมุกดาหาร จ.มุกดาหาร 49000
5,0493558000303,หจ.ปิติพัฒน์ การโยธา,27/4/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,44/21 ซอยตาดแคน 12 ถนนตาดแคน  ต.มุกดาหาร อ.เมืองมุกดาหาร จ.มุกดาหาร 49000
6,0493558000311,หจ.พิชาญ พาณิชย์,28/4/2558," 1,000,000 ",ประกอบกิจการจำหน่ายสินค้าอุปโภคบริโภค,16 ถนนประคองพันธ์  ต.มุกดาหาร อ.เมืองมุกดาหาร จ.มุกดาหาร 49000
7,0495558000151,บจ.อีเพย์ออนไลน์ จำกัด,21/4/2558," 1,000,000 ",ประกอบกิจการสร้างบ้านสร้างอาคารสร้างคอนโดเพื่อเช่าและขาย,130 หมู่บ้านคำเม็ก หมู่ที่ 6  ต.คำอาฮวน อ.เมืองมุกดาหาร จ.มุกดาหาร 49000
8,0495558000178,บจ.วงค์ละคร ทรานสปอร์ต จำกัด,23/4/2558," 1,000,000 ",ประกอบกิจการขนส่งและขนถ่ายสินค้าทุกประเภท ทั้งภายในและภายนอกประเทศ,100 หมู่ที่ 3  ต.เหล่าหมี อ.ดอนตาล จ.มุกดาหาร 49120
9,0493558000265,หจ.ด้อ ตั๊ค ฟก,9/4/2558," 10,000 ",ประกอบกิจการค้าผลิตภัณฑ์ที่ใช้แล้ว,204 หมู่ที่ 12  ต.คำป่าหลาย อ.เมืองมุกดาหาร จ.มุกดาหาร 49000
1,0505558003524,บจ.ว่องวานิชที่ดินและเคหะ จำกัด,7/4/2558," 48,000,000 ",โรงแรมที่พักและร้านอาหาร,99 หมู่ที่ 7  ต.ริมใต้ อ.แม่ริม จ.เชียงใหม่ 50180
2,0505558003567,บจ.ดีคอรัม จำกัด,9/4/2558," 13,000,000 ",ประกอบกิจการโรงแรม ที่พักอาศัย,6 ซอย9 (ถนนราชมรรคา)  ต.พระสิงห์ อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50200
3,0505558003532,บจ.ศิริยีวัน (ไอ.เอส.) จำกัด,7/4/2558," 6,000,000 ",จำหน่ายผ้าม่านและอุปกรณ์ติดตั้งผ้าม่านทุกชนิด,ชั้น 1 อาคารยีวัน 87/9 ถนนทุ่งโฮเต็ล  ต.วัดเกต อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50000
4,0505558003354,บจ.ไตรฤทธิ์ วิศวการ จำกัด,1/4/2558," 5,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,115/2 หมู่ที่ 3  ต.ฟ้าฮ่าม อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50000
5,0505558004008,บจ.พิมมดา พร็อพเพอร์ตี้ จำกัด,24/4/2558," 5,000,000 ",ประกอบกิจการจัดสรรที่ดินทุกประเภท,222/7 หมู่ที่ 6  ต.ฟ้าฮ่าม อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50000
6,0503558002372,หจ.อนุกุลคอนกรีต,2/4/2558," 5,000,000 ",ประกอบกิจการผลิตและจำหน่ายหิน ทราย คอนกรีตผสมเสร็จ คาน เสา งานโครงสร้างทุกชนิด,125 หมู่ที่ 5  ต.ป่าแดด อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50100
7,0505558004067,บจ.โนเวลแคร์ จำกัด,27/4/2558," 5,000,000 ",ประกอบกิจการซื้อ ขาย สินค้า ยารักษาโรค และอาหารเสริม,109/9 หมู่ที่ 8  ต.ดอนแก้ว อ.แม่ริม จ.เชียงใหม่ 50180
8,0505558003613,บจ.ซุปเปอร์ กู๊ด เด็นทัล คลินิก จำกัด,9/4/2558," 5,000,000 ",ประกอบกิจการสถานบริการทันตกรรม,213 ถนนศรีภูมิ  ต.ศรีภูมิ อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50200
9,0505558004211,บจ.ไถ้ตู อินเตอร์เนชั่นแนล เทรด จำกัด,29/4/2558," 5,000,000 ",ประกอบกิจการ การผลิตเครื่องหอม และเครื่องสำอาง,1/18 ถนนสนามบินเก่า  ต.สุเทพ อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50200
10,0505558003516,บจ.ภูเขางามรีสอร์ท จำกัด,7/4/2558," 5,000,000 ",ประกอบกิจการโรงแรม รีสอร์ท ให้เช่าห้องพักอาศัย สปา,209 หมู่ที่ 5  ต.บ้านปง อ.หางดง จ.เชียงใหม่ 50230
11,0505558003940,บจ.คังดาไทย จำกัด,22/4/2558," 4,000,000 ",ประกอบกิจการจำหน่ายอาหารและเครื่องดื่ม,56/2 หมู่ที่ 9  ต.ป่าแดด อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50100
12,0505558003818,บจ.เอแอนด์เอส ดีเวลอปเม้นท์ จำกัด,17/4/2558," 4,000,000 ",ประกอบกิจการโรงแรม ภัตตาคาร บาร์ ไนท์คลับ,55/94 หมู่ที่ 6  ต.ไชยสถาน อ.สารภี จ.เชียงใหม่ 50140
13,0503558002585,หจ.เจจูโดนิ,17/4/2558," 4,000,000 ",ประกอบกิจการจำหน่ายอาหารเกาหลีและเครื่องดื่มทุกชนิด,75 หมู่ที่ 6  ต.สันทรายน้อย อ.สันทราย จ.เชียงใหม่ 50210
14,0503558002453,หจ.ยั่งยืนแฟมิลี่ฟู้ด,8/4/2558," 3,000,000 ",ประกอบกิจการแปรรูปและการผลิตอาหารสำเร็จรูป กึ่งสำเร็จรูป เพื่อจำหน่ายทั้งในและต่างประเทศ,82/2 หมู่ที่ 6  ต.ฟ้าฮ่าม อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50000
15,0505558003877,บจ.เจแอล ลำดวน จำกัด,20/4/2558," 3,000,000 ",การซื้อ การขาย การเช่าและการดำเนินงานเกี่ยวกับอสังหาริมทรัพย์ที่เป็นของตนเองหรือเช่าจากผู้อื่น,108 ซอย9 (ถนนลำพูน) ถนนลำพูน  ต.หนองหอย อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50000
16,0505558003885,บจ.คอร์ดีเซพส์โกลด์ จำกัด,20/4/2558," 3,000,000 ",ค้า ผลิต ซื้อ จัดหา ใช้ ครอบครอง ถือกรรมสิทธิ์ จำหน่าย นำเข้าส่งออกผลิตภัณฑ์เกี่ยวข้องกับสุขภาพอาหาร,143/14 หมู่ที่ 7  ต.หนองป่าครั่ง อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50000
17,0503558002623,หจ.จ.รวมโชค,20/4/2558," 3,000,000 ",ขายวัสดุก่อสร้าง,199/108 หมู่ที่ 3  ต.แม่เหียะ อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50100
18,0505558003672,บจ.บ้านร้อยจันทร์ จำกัด,10/4/2558," 3,000,000 ",ประกอบกิจการในการจัดที่พักแรมและให้บริการอาหาร เครื่องดื่มและสิ่งอำนวยความสะดวกต่าง ๆ,169 หมู่ที่ 4  ต.หนองควาย อ.หางดง จ.เชียงใหม่ 50230
19,0505558004229,บจ.เมกไกวส์ ซี-สโตร์ จำกัด,29/4/2558," 3,000,000 ",ประกอบกิจการจำหน่ายและให้บริการติดตั้งฟิล์มกรองแสง น้ำยาดูแลรักษารถยนต์และบริการ,32/10 ถนนเชียงใหม่-ลำปาง  ต.ช้างเผือก อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50300
20,0503558002569,หจ.พิทักษ์สิทธิ 2015,10/4/2558," 2,000,000 ",ประกอบกิจการรับพิสูจน์สัญชาติ,6/4 หมู่ที่ 2  ต.หนองป่าครั่ง อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50000
21,0503558002925,หจ.กาลังเกิล,30/4/2558," 2,000,000 ",ประกอบกิจการรับสอนการทำอาหารไทยให้แก่ชาวต่างชาติ,366 ถนนเจริญราษฎร์  ต.วัดเกต อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50000
22,0505558003559,บจ.ชา มามา จำกัด,8/4/2558," 2,000,000 ",ประกอบกิจการ ผลิต จำหน่าย เครื่องดื่ม ชา แปรรูปจากสมุนไพร,222/6 หมู่ที่ 1  ต.ป่าแดด อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50100
23,0505558003664,บจ.แอดวานซ์ เอ็นเตอร์ไพร์ซ จำกัด,10/4/2558," 2,000,000 ",ประกอบธุรกิจบริการรับเป็นที่ปรึกษาทางธุรกิจ,29/5 ถนนคชสาร  ต.ช้างคลาน อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50100
24,0505558004024,บจ.ออร์กานิโก้ เอ็กซิม จำกัด,27/4/2558," 2,000,000 ",นำเข้าส่งออก อาหารแห้ง อาหารสำเร็จรูป และเครื่องบริโภค,262/2 ถนนช้างคลาน  ต.ช้างคลาน อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50100
25,0505558004202,บจ.จง ไทย ทัวร์ จำกัด,28/4/2558," 2,000,000 ",ประกอบกิจการนำเที่ยว โดยมีมัคคุเทศนำเที่ยว รวมถึงการจัดหารถทัวร์ รถตู้ สำหรับบริการท่องเที่ยว,356 ถนนช้างคลาน  ต.ช้างคลาน อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50100
26,0505558004148,บจ.อจินไตย จำกัด,28/4/2558," 2,000,000 ",ประกอบกิจการตัวแทนจำหน่ายสินค้า อุปโภค และบริโภค ทุกประเภท,392 หมู่ที่ 5  ต.โป่งน้ำร้อน อ.ฝาง จ.เชียงใหม่ 50110
27,0503558002381,หจ.กังนัม 2015,3/4/2558," 2,000,000 ",จำหน่ายอาหารและเครื่องดื่ม  และของฝาก ของที่ระลึก ของตกแต่งบ้าน,3/7 หมู่ที่ 3  ต.สันกลาง อ.สันกำแพง จ.เชียงใหม่ 50130
28,0505558003460,บจ.จี แอนด์ ซี คอร์ปอเรชั่น จำกัด,3/4/2558," 2,000,000 ",ประกอบกิจการจำหน่าย นำเข้าส่งออก สินค้าอุปโภคบริโภค เครื่องประดับ,151 หมู่ที่ 3  ต.สันกลาง อ.สันกำแพง จ.เชียงใหม่ 50130
29,0505558003508,บจ.อพิเทราพี แอสโซซิเอชั่น จำกัด,7/4/2558," 2,000,000 ",การเลี้ยงผึ้ง,169/8 หมู่ที่ 7  ต.ยางเนิ้ง อ.สารภี จ.เชียงใหม่ 50140
30,0503558002887,หจ.เวิร์คคอนแทรค,29/4/2558," 2,000,000 ",รับออกแบบ ติดตั้ง และซ่อมแซม ระบบทำความเย็น ห้องเย็น และผนังโรงงาน,71 หมู่ที่ 15  ต.สุเทพ อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50200
31,0505558003702,บจ.เคียงเพลิน จำกัด,10/4/2558," 2,000,000 ",ประกอบกิจการหอพัก ให้บริการเช่าห้องพักรายวัน รายสัปดาห์ รายเดือน,37/1 ซอย2 ถนนสิงหราช  ต.ศรีภูมิ อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50200
32,0505558003982,บจ.อุโมงค์ ปาร์ค จำกัด,23/4/2558," 2,000,000 ",ประกอบกิจการให้เช่าอาคาร ห้องพักอาศัย รายเดือนและรายวัน,21 ซอย2 (ถนนราชมรรคา)  ต.พระสิงห์ อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50200
33,0505558004041,บจ.เบธเอลเทค (ประเทศไทย) จำกัด,27/4/2558," 2,000,000 ",จำหน่ายเครื่องจักรอุปกรณ์และเครื่องมือเครื่องใช้ทางการเกษตร,165 ห้อง A หมู่ที่ 14  ต.สุเทพ อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50200
34,0505558003451,บจ.ฮัลโหล ทราเวล 2015 (ไทยแลนด์) จำกัด,3/4/2558," 2,000,000 ",ประกอบกิจการ นำเที่ยว รวมทั้งธุรกิจที่เกี่ยวข้องกับการนำเที่ยว,213 หมู่ที่ 2  ต.หนองจ๊อม อ.สันทราย จ.เชียงใหม่ 50210
35,0505558003478,บจ.เอ็น.ที.อาร์ โบรคเกอร์ จำกัด,3/4/2558," 2,000,000 ",ประกอบกิจการตัวแทนจำหน่ายประกันวินาศภัยทุกชนิด,105/105 หมู่ที่ 7  ต.หนองจ๊อม อ.สันทราย จ.เชียงใหม่ 50210
36,0505558003575,บจ.ช.ยศ คอนสตรัคชั่น จำกัด,9/4/2558," 2,000,000 ",ประกอบกิจการรับจ้างถมดิน,138 หมู่ที่ 4  ต.สันทรายหลวง อ.สันทราย จ.เชียงใหม่ 50210
37,0505558003648,บจ.เม้าท์เท่น เทรล(ไทยแลนด์) จำกัด,9/4/2558," 2,000,000 ",ประกอบธุรกิจประเภทจัดกิจกรรม จัดการแข่งขัน วิ่งวิบาก เพื่อส่งเสริมการกีฬา,62/76 หมู่ที่ 1  ต.สันป่าเปา อ.สันทราย จ.เชียงใหม่ 50210
38,0505558003788,บจ.พี.ภักดิ์พิงค์ จำกัด,16/4/2558," 2,000,000 ",รับเหมาก่อสร้าง,199/779 หมู่ที่ 2  ต.หนองจ๊อม อ.สันทราย จ.เชียงใหม่ 50210
39,0505558003991,บจ.ฟาร์ม แอนด์ เฟรนด์ (2015) จำกัด,24/4/2558," 2,000,000 ",ซื้อ ขาย ที่ดิน และพัฒนาที่ดินพร้อมสิ่งปลูกสร้าง ซื้อที่ดินแปลงใหญ่แล้วนำมาแบ่งแยกเป็นแปลงเล็ก,123/5 หมู่ที่ 5  ต.สันทรายน้อย อ.สันทราย จ.เชียงใหม่ 50210
