นิติบุคคลจัดตั้งเดือนกุมภาพันธ์  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์เดิม,ที่ตั้งสำนักงานใหญ่
105,0843558000351,หจ.โสรยา  เน็ตเวิร์ค,5/2/2558," 500,000 ",ประกอบกิจการจำหน่ายสินค้าอุปโภคบริโภค,2/25 หมู่ที่ 2  ต.บ้านส้อง อ.เวียงสระ จ.สุราษฎร์ธานี 84190
106,0843558000466,หจ.สมหวัง ลอนดรี้,17/2/2558," 500,000 ",ประกอบกิจการซักรีดเสื้อผ้า และทำความสะอาดสิ่งทออื่นๆ ทุกชนิด,74 หมู่ที่ 4  ต.บ้านใต้ อ.เกาะพะงัน จ.สุราษฎร์ธานี 84280
107,0845558001065,บจ.อะนูซี่ เอ็นเตอร์ไพรซ์ จำกัด,3/2/2558," 500,000 ",ประกอบกิจการให้เช่าซื้อขายทรัพย์สิน,37/2 หมู่ที่ 4  ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320
108,0843558000539,หจ.สุดจำนงค์ การเกษตร,25/2/2558," 350,000 ",ประกอบกิจการจำหน่ายสารปรับสภาพดิน,51 หมู่ที่ 5  ต.ประสงค์ อ.ท่าชนะ จ.สุราษฎร์ธานี 84170
109,0845558001626,บจ.แฮปปี้ รีสเพคท์ โฮลดิ้ง จำกัด,24/2/2558," 300,000 ",ประกอบธุรกิจบริการรับเป็นที่ปรึกษาและให้คำแนะนำปัญหาเกี่ยวกับการบริหารงานพาณิชยกรรม,8/3 หมู่ที่ 1  ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320
110,0845558001456,บจ.สัญญาค้าวัสดุ (1997) จำกัด,17/2/2558," 200,000 ",ประกอบกิจการจำหน่ายวัสดุก่อสร้าง ทุกชนิด,8/7 หมู่ที่ 3  ต.หนองไทร อ.พุนพิน จ.สุราษฎร์ธานี 84130
111,0845558001201,บจ.คินาซาวิท (ไทยแลนด์) จำกัด,5/2/2558," 100,000 ",ประกอบกิจการค้าน้ำมันปาล์ม,78/52 หมู่ที่ 2  ต.มะขามเตี้ย อ.เมืองสุราษฎร์ธานี จ.สุราษฎร์ธานี 84000
112,0843558000563,หจ.เอ็มดีแอนด์เอดับเบิลยู,26/2/2558," 100,000 ",ประกอบกิจการติดต่อประสานงานเกี่ยวกับที่พัก,23/217 หมู่ที่ 4  ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320
113,0845558001847,บจ.ฮาริส 555 จำกัด,27/2/2558," 10,000 ",ร่วมลงทุนในกิจการอื่นๆที่ไม่ได้ดำเนินงานในธุรกิจการเงินเป็นหลัก,119 หมู่ที่ 1  ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320
1,0853558000032,หจ.ทรัพย์ระนอง,5/2/2558," 5,000,000 ",ประกอบกิจการนำเข้าส่งออก แร่ดินขาว แร่ประเภทอื่นๆ และสินค้าอุปโภคบริโภค ทุกชนิด,18/3 หมู่ที่ 3  ต.บางริ้น อ.เมืองระนอง จ.ระนอง 85000
2,0855558000093,บจ.เหมเรืองเงินการประมง จำกัด,11/2/2558," 5,000,000 ",ประกอบกิจการประมง แพปลา สะพานปลา ซื้อขายสัตว์น้ำ,89/2 หมู่ที่ 1  ต.ปากน้ำ อ.เมืองระนอง จ.ระนอง 85000
3,0855558000123,บจ.อี แอนด์ ซี โฟรเซ่นฟู้ด จำกัด,26/2/2558," 5,000,000 ",ประกอบกิจการจำหน่ายอาหารแปรรูปและอาหารแช่แข็ง สัตว์น้ำทะเลแช่แข็งทุกชนิดรวมทั้งนำเข้าและส่งออก,89/1260 หมู่ที่ 1  ต.ปากน้ำ อ.เมืองระนอง จ.ระนอง 85000
4,0855558000077,บจ.เฉวียน ซิ่ง ห่าย หยาง จำกัด,5/2/2558," 2,000,000 ",ประกอบกิจการค้า ส่งออก อาหารทะเล,6/37 หมู่ที่ 1  ต.บางนอน อ.เมืองระนอง จ.ระนอง 85000
5,0855558000085,บจ.สุจิรา ไทยกูด ดอลฟิน จำกัด,6/2/2558," 2,000,000 ",ค้าอาหารทะเลและส่งออกอาหารทะเล,90/16 หมู่ที่ 1  ต.ปากน้ำ อ.เมืองระนอง จ.ระนอง 85000
6,0855558000107,บจ.พี.เค.พันธุ์พืช จำกัด,20/2/2558," 1,000,000 ",ประกอบกิจการรับซื้อและจำหน่ายต้นปาล์ม ลูกปาล์ม และนำเข้าปุ๋ยหมักจากต่างประเทศ,94/53 หมู่ที่ 5  ต.บางริ้น อ.เมืองระนอง จ.ระนอง 85000
7,0855558000115,บจ.ฤทธิเดช แอนด์ แสงทอง ภาคใต้ (ประเทศไทย) จำกัด,26/2/2558," 1,000,000 ",ทัวร์ท่องเที่ยว ตั๋วเครื่องบินและการท่องเที่ยว,208/8 หมู่ที่ 3  ต.ปากน้ำ อ.เมืองระนอง จ.ระนอง 85000
8,0855558000069,บจ.ครอบครัว อารมณ์ดี ทัวร์ จำกัด,5/2/2558," 500,000 ",ประกอบกิจการนำเที่ยวและธุรกิจที่เกี่ยวข้องกับการนำเที่ยวทุกชนิด,86/38 หมู่ที่ 5  ต.บางริ้น อ.เมืองระนอง จ.ระนอง 85000
1,0865558000221,บจ.กรีน เซฟวิ่ง เอนจิเนียริ่ง (ไทยแลนด์) จำกัด,13/2/2558," 5,000,000 ",ประกอบกิจการออกแบบ ติดตั้ง ควบคุม งานด้านแก็สชีวภาพและพลังงานทดแทน งานด้านวิศวกรรม,158/3 หมู่ที่ 6  ต.ทุ่งคา อ.เมืองชุมพร จ.ชุมพร 86100
2,0865558000166,บจ.นวมินทร์.โปรเกรส จำกัด,3/2/2558," 5,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,4/13 ถนนประชาอุทิศ  ต.ขันเงิน อ.หลังสวน จ.ชุมพร 86110
3,0865558000271,บจ.ชุมพร ไบโอแมส เอเนอร์ยี่ จำกัด,20/2/2558," 5,000,000 ",ประกอบกิจการผลิตไฟฟ้า เพื่อใช้ในกิจการ จำหน่าย หรือส่งเข้าสู่โครงข่ายไฟฟ้า,23/1 หมู่ที่ 1  ต.วังใหม่ อ.เมืองชุมพร จ.ชุมพร 86190
4,0865558000263,บจ.ฤทธิเดช อุตสาหกรรมภาคใต้ (ประเทศไทย) จำกัด,19/2/2558," 3,000,000 ",จำหน่ายวัสดุก่อสร้าง,32/6 ซอย4 ถนนเขาเงิน  ต.ขันเงิน อ.หลังสวน จ.ชุมพร 86110
5,0865558000298,บจ.อวยชัยก่อสร้าง จำกัด,27/2/2558," 3,000,000 ",รับเหมาก่อสร้าง,250 ถนนหลังสวน  ต.หลังสวน อ.หลังสวน จ.ชุมพร 86110
6,0865558000191,บจ.เพชรมังกร อินเตอร์เนชั่นแนล เทรดดิ้ง จำกัด,11/2/2558," 2,000,000 ",ประกอบกิจการค้า หมาก หมากแห้ง  และสินค้าอุปโภคบริโภค,31/2 หมู่ที่ 5  ต.หาดพันไกร อ.เมืองชุมพร จ.ชุมพร 86000
7,0863558000202,หจ.เพชรไชยา  คอนสตรัคชั่น,24/2/2558," 1,500,000 ",รับเหมาก่อสร้าง,76 หมู่ที่ 5  ต.วังไผ่ อ.เมืองชุมพร จ.ชุมพร 86190
8,0865558000140,บจ.บ้านนาปิยะแก๊ส จำกัด,2/2/2558," 1,020,000 ",ประกอบกิจการบรรจุแก็สหุ้งต้ม และจำหน่าย,149 หมู่ที่ 9  ต.ทุ่งหลวง อ.ละแม จ.ชุมพร 86170
9,0863558000156,หจ.ณัฏฐากรุ๊ป,11/2/2558," 1,000,000 ",รับเหมาก่อสร้าง,18/1 หมู่ที่ 6  ต.นาทุ่ง อ.เมืองชุมพร จ.ชุมพร 86000
10,0863558000164,หจ.รัฐปัถย์,11/2/2558," 1,000,000 ",ตัวแทนจำหน่ายสินค้าอุปโภคบริโภค,175/11 ถนนกรมหลวงชุมพร  ต.ท่าตะเภา อ.เมืองชุมพร จ.ชุมพร 86000
11,0865558000204,บจ.เมราโน พร็อพเพอร์ตี้ จำกัด,12/2/2558," 1,000,000 ",ให้เช่าอาคารสำนักงาน จัดสรรที่ดิน,85/13 หมู่ที่ 5  ต.นาชะอัง อ.เมืองชุมพร จ.ชุมพร 86000
12,0865558000212,บจ.แอลอาร์เอสเอส โฮม พร็อพเพอร์ตี้ จำกัด,12/2/2558," 1,000,000 ",ให้เช่าอาคารสำนักงาน จัดสรรที่ดิน,85/13 หมู่ที่ 5  ต.นาชะอัง อ.เมืองชุมพร จ.ชุมพร 86000
13,0865558000239,บจ.พัชราภรณ์ค้าเหล็ก จำกัด,16/2/2558," 1,000,000 ",ประกอบกิจการค้าเหล็ก,224/1 หมู่ที่ 5  ต.นาทุ่ง อ.เมืองชุมพร จ.ชุมพร 86000
14,0863558000199,หจ.ก้องเกียรติ คอนสตรัคชั่น,12/2/2558," 1,000,000 ",รับเหมาก่อสร้าง,49 หมู่ที่ 1  ต.พ้อแดง อ.หลังสวน จ.ชุมพร 86110
15,0865558000182,บจ.เอ็ม.พี.ดี.วิศวกรรมและเกษตรกรรม จำกัด,9/2/2558," 1,000,000 ",รับจ้างติดตั้ง ออกแบบ วางระบบไฟฟ้า,17 หมู่ที่ 8  ต.บ้านควน อ.หลังสวน จ.ชุมพร 86110
16,0865558000280,บจ.พิมพัท สแตมกรีต จำกัด,27/2/2558," 1,000,000 ",จำหน่ายพื้นคอนกรีต,42/5 ถนนประสาทนิกร  ต.ขันเงิน อ.หลังสวน จ.ชุมพร 86110
17,0865558000247,บจ.ทอรัก ทุ่งตะโก จำกัด,17/2/2558," 1,000,000 ",ประกอบกิจการโรงเรียนอนุบาล,55 หมู่ที่ 2  ต.วิสัยใต้ อ.สวี จ.ชุมพร 86130
18,0865558000115,บจ.ไทย เซาท์เทิร์น เทรดดิ้ง จำกัด,2/2/2558," 1,000,000 ",จำหน่ายสินค้าอุปโภคบริโภค,226 หมู่ที่ 16  ต.ท่าแซะ อ.ท่าแซะ จ.ชุมพร 86140
19,0865558000255,บจ.พี อาร์ ที เซอร์วิส 2015 จำกัด,19/2/2558," 1,000,000 ",เป็นตัวแทนรับบริการจัดเตรียมเอกสาร ดำเนินการพาสปอร์ต วีซ่า,328/1 หมู่ที่ 7  ต.สลุย อ.ท่าแซะ จ.ชุมพร 86140
20,0863558000148,หจ.จ่า เม้ง กรุ๊ป,9/2/2558," 1,000,000 ",ผลิตสุราชุมชนและสินค้าโอทอป,16 หมู่ที่ 3  ต.ทะเลทรัพย์ อ.ปะทิว จ.ชุมพร 86160
21,0863558000181,หจ.โชคกิตติพารวย เทรดดิ้ง,12/2/2558," 1,000,000 ",รับเป็นผู้บริการงานเกี่ยวกับด้านพาณิชยกรรม อุตสาหกรรม การตลาด และจัดจำหน่าย,18/31 หมู่ที่ 6  ต.ชุมโค อ.ปะทิว จ.ชุมพร 86160
22,0863558000121,หจ.คงสนิทอิเล็คทรอนิกส์,3/2/2558," 1,000,000 ",ประกอบกิจการรับเดินระบบแลน ระบบโทรศัพท์,139/13 หมู่ที่ 1  ต.ละแม อ.ละแม จ.ชุมพร 86170
23,0865558000174,บจ.โอ แอนด์ พี พาสปอร์ต 2015 จำกัด,5/2/2558," 1,000,000 ",เป็นตัวแทนรับบริการจัดเตรียมเอกสารและดำเนินการเกี่ยวกับพาสปอร์ต วีซ่า,119/4 หมู่ที่ 4  ต.วังไผ่ อ.เมืองชุมพร จ.ชุมพร 86190
24,0863558000113,หจ.อมรรัตน์การเคเบิ้ล,3/2/2558," 1,000,000 ",ประกอบกิจการรับเดินระบบแลน ระบบโทรศัพท์,29 หมู่ที่ 5  ต.สะพลี อ.ปะทิว จ.ชุมพร 86230
25,0865558000158,บจ.ไชยาปิยะแก๊ส จำกัด,2/2/2558," 620,000 ",ประกอบกิจการค้าเตาแก๊สและอุปกรณ์,199 หมู่ที่ 9  ต.ทุ่งหลวง อ.ละแม จ.ชุมพร 86170
26,0865558000131,บจ.สตาร์วัน โปรดักชั่น จำกัด,2/2/2558," 300,000 ",ประกอบกิจการผลิตรายการโทรทัศน์,151/5 ถนนพิศิษฐพยาบาล  ต.ท่าตะเภา อ.เมืองชุมพร จ.ชุมพร 86000
27,0863558000130,หจ.ประดิษฐ์ อินเทอร์เน็ต,9/2/2558," 200,000 ",ประกอบกิจการติดตั้งระบบอินเทอร์เน็ต,211 หมู่ที่ 5  ต.นาทุ่ง อ.เมืองชุมพร จ.ชุมพร 86000
1,0905558000891,บจ.เพิ่มพูนวิศวกรรม จำกัด,27/2/2558," 100,000,000 ",รับเหมาก่อสร้าง,1199 หมู่ที่ 3 ถนนเลียบคลองชลประทาน  ต.ควนลัง อ.หาดใหญ่ จ.สงขลา 90110
2,0903558000261,หจ.ทีเอสวี ออยล์,9/2/2558," 5,000,000 ",ประกอบกิจการค้าน้ำมันเชื้อเพลิง,50/14 หมู่ที่ 6  ต.คอหงส์ อ.หาดใหญ่ จ.สงขลา 90110
3,0903558000341,หจ.พี.อี.อี เทรดดิ้ง,23/2/2558," 5,000,000 ",รับซื้อขายส่งน้ำยางข้น,54 หมู่ที่ 1 ซอยหมู่บ้านสหวิริยะ  ต.ควนลัง อ.หาดใหญ่ จ.สงขลา 90110
4,0905558000581,บจ.ราษฎรยินดี จำกัด,10/2/2558," 5,000,000 ",โรงพยาบาลเอกชน สถานพยาบาล,69 ซอย9 (ราษฎร์ยินดี)  ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110
5,0905558000661,บจ.สยามคัชฑา จำกัด,16/2/2558," 5,000,000 ",ประกอบกิจการนำเข้าส่งออก ซื้อ ค้าส่ง อุปกรณ์อิเล็คทรอนิกส์,46 ซอยชื่นอุทิศแก้วสมิทพัฒนา  ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110
6,0905558000718,บจ.เอ็ม.วาย.คาร์ เซอร์วิส จำกัด,17/2/2558," 5,000,000 ",ซ่อมเครื่องยนต์และยานพาหนะทุกชนิด,415 ถนนธรรมนูญวิถี  ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110
7,0905558000505,บจ.เพ็ชร์ทองการโยธา จำกัด,9/2/2558," 5,000,000 ",รับเหมาก่อสร้าง,100/3 หมู่ที่ 2  ต.เขามีเกียรติ อ.สะเดา จ.สงขลา 90120
8,0903558000333,หจ.เอ็ม.เค.เซฟตี้การ์ด,20/2/2558," 3,000,000 ",รักษาความปลอดภัย,386/85 หมู่ที่ 6  ต.น้ำน้อย อ.หาดใหญ่ จ.สงขลา 90110
9,0903558000325,หจ.เค.ที.รัตนมณี,17/2/2558," 3,000,000 ",ซื้อขายสินค้าทางการเกษตรทุกชนิด,19/4 หมู่ที่ 3  ต.เขาพระ อ.รัตภูมิ จ.สงขลา 90180
10,0905558000831,บจ.เออีซี โฮมเซ็นเตอร์ จำกัด,26/2/2558," 3,000,000 ",ขายปลีกเครื่องเคหะภัณฑ์ เครื่องเรือน เฟอร์นิเจอร์,342/1 หมู่ที่ 11  ต.กำแพงเพชร อ.รัตภูมิ จ.สงขลา 90180
11,0905558000467,บจ.เพิ่มพูน เซอร์วิส (2015) จำกัด,6/2/2558," 2,000,000 ",ประกอบกิจการบริการรถรับ-ส่ง,63/210 หมู่ที่ 2  ต.เขารูปช้าง อ.เมืองสงขลา จ.สงขลา 90000
12,0905558000939,บจ.วชิราสงขลาทัวร์ จำกัด,27/2/2558," 2,000,000 ",รับจ้างจัดโปรแกรมท่องเที่ยว,16 ถนนทะเลหลวง  ต.บ่อยาง อ.เมืองสงขลา จ.สงขลา 90000
13,0905558000807,บจ.ลา พอสซ์ จำกัด,24/2/2558," 2,000,000 ",บริการห้องพัก,"43,45 ถนนจุติอุทิศ 3  ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110"
14,0905558000611,บจ.พี.พี.เอฟ คอนสตรัคชั่น จำกัด,10/2/2558," 2,000,000 ",รับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารที่พักอาศัย สถานที่ทำการ,110/1 หมู่ที่ 1  ต.จะโหนง อ.จะนะ จ.สงขลา 90130
15,0905558000530,บจ.มารีน เซอร์วิเทค (สงขลา) จำกัด,9/2/2558," 2,000,000 ",ประกอบกิจการผลิตจำหน่ายเครื่องจักรเครื่องยนต์และอุปกรณ์เกี่ยวกับการเดินเรือทุกชนิด,182 หมู่ที่ 3  ต.สทิงหม้อ อ.สิงหนคร จ.สงขลา 90280
16,0905558000882,บจ.สงขลาพอร์ต เซอร์วิส จำกัด,26/2/2558," 2,000,000 ",บริการขนถ่ายสินค้า,39 หมู่ที่ 2  ต.ชิงโค อ.สิงหนคร จ.สงขลา 90280
17,0905558000793,บจ.ทวีโชคกิจ ทรานสปอร์ต จำกัด,24/2/2558," 1,500,000 ",ขนส่งและขนถ่ายสินค้า,139/17 หมู่ที่ 8  ต.เขารูปช้าง อ.เมืองสงขลา จ.สงขลา 90000
18,0903558000392,หจ.ชัชชล อิมพอร์ต แอนด์ เอ็กซ์พอร์ต,25/2/2558," 1,500,000 ",ตัวแทนรับจัดการขนส่งสินค้า,19 หมู่ที่ 1  ต.ท่าโพธิ์ อ.สะเดา จ.สงขลา 90170
19,0903558000236,หจ.ชยุต เอ็นจิเนียริ่งแอนด์ซัพพลาย,4/2/2558," 1,000,000 ",บริการกำจัดปลวก แมลง,19/78 หมู่ที่ 10  ต.เขารูปช้าง อ.เมืองสงขลา จ.สงขลา 90000
20,0903558000368,หจ.เบญญาภา(249),23/2/2558," 1,000,000 ",ร้านสะดวกซื้อ,11/5 ถนนวิเชียรชม  ต.บ่อยาง อ.เมืองสงขลา จ.สงขลา 90000
21,0903558000449,หจ.ซี.เอ็ม.แอล.ซัพพลาย แอนด์ เซอร์วิส,27/2/2558," 1,000,000 ",ประกอบกิจการบริการซ่อมแซม บำรุงรักษา ตรวจสอบรวมทั้งติดตั้งและแก้ไขอุปกรณ์ทุกชนิด,62/83 หมู่ที่ 2  ต.เขารูปช้าง อ.เมืองสงขลา จ.สงขลา 90000
22,0905558000688,บจ.อี เอ เค มีเดีย กรุ๊ป จำกัด,17/2/2558," 1,000,000 ",ประกอบกิจการให้เช่าอุปกรณ์คอมพิวเตอร์และจอLED,17/25 ซอยไทรบุรี 27 ถนนไทรบุรี  ต.เขารูปช้าง อ.เมืองสงขลา จ.สงขลา 90000
23,0905558000475,บจ.เอ็ม อินสตรูเมนท์ แอนด์ ดีไซน์ จำกัด,6/2/2558," 1,000,000 ",รับออกแบบติดตั้งระบบสื่อสารโทรคมนาคม,651/36 หมู่บ้านศรีวนา หมู่ที่ 2  ต.พะวง อ.เมืองสงขลา จ.สงขลา 90100
24,0905558000513,บจ.สิริมงคลพาณิชย์ จำกัด,9/2/2558," 1,000,000 ",ประกอบกิจการค้าข้าว ค้าไม้ และให้บริการเกี่ยวกับสินค้าเกษตรทุกชนิด,712 หมู่ที่ 2  ต.พะวง อ.เมืองสงขลา จ.สงขลา 90100
25,0905558000742,บจ.อาร์ ซัพพลาย(ประเทศไทย) จำกัด,20/2/2558," 1,000,000 ",ค้าอาหารแห้ง อาหารสำเร็จรูป,742/25 หมู่ที่ 2  ต.พะวง อ.เมืองสงขลา จ.สงขลา 90100
26,0903558000201,หจ.ยู เอฟ ดี เทรดดิ้ง,2/2/2558," 1,000,000 ",จำหน่ายน้ำผลไม้,20 ถนนยรรยงพัฒนา  ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110
27,0903558000228,หจ.นิยมเดชธุรกิจ,3/2/2558," 1,000,000 ",ประกอบกิจการค้าขายเครื่องใช้ไฟฟ้า อุปกรณ์ อาหารสัตว์ และบริการรับทวงหนี้,91 หมู่ที่ 4  ต.น้ำน้อย อ.หาดใหญ่ จ.สงขลา 90110
28,0903558000309,หจ.สิงห์เอกรุ่งเรืองกิจ,12/2/2558," 1,000,000 ",กิจการค้ายางรถยนต์ อะไหล่รถยนต์ วัสดุอุปกรณ์รถยนต์,204/10 หมู่ที่ 10  ต.คลองแห อ.หาดใหญ่ จ.สงขลา 90110
29,0903558000317,หจ.ทิพย์จันทร์ การโยธา คอนสตรัคชั่น,13/2/2558," 1,000,000 ",รับเหมาก่อสร้าง,210/1 หมู่ที่ 10  ต.ทุ่งตำเสา อ.หาดใหญ่ จ.สงขลา 90110
30,0903558000350,หจ.เอสพี แอนด์ ที หาดใหญ่เอ็นจิเนียริ่ง,23/2/2558," 1,000,000 ",รับเหมาก่อสร้างโครงหลังคาเหล็ก งานเหล็กทุกประเภท,18/85 หมู่ที่ 2  ต.ทุ่งใหญ่ อ.หาดใหญ่ จ.สงขลา 90110
31,0903558000414,หจ.เท่ง ทราย ทอง,26/2/2558," 1,000,000 ",ค้าวัสดุก่อสร้าง,406/5 หมู่ที่ 4  ต.คลองแห อ.หาดใหญ่ จ.สงขลา 90110
32,0903558000431,หจ.หาดใหญ่อีซี่ไอที,27/2/2558," 1,000,000 ",ค้าส่งอุปกรณ์คอมพิวเตอร์และไอที,49 ซอย23 ถนนกาญจนวนิช  ต.คอหงส์ อ.หาดใหญ่ จ.สงขลา 90110
33,0905558000432,บจ.เอ็มดับเบิ้ลยู ลอว์ หาดใหญ่ แอนด์ แอสโซซิเอท จำกัด,2/2/2558," 1,000,000 ",ประกอบกิจกรรมทางกฏหมาย,234/47 ถนนศุภสารรังสรรค์  ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110
34,0905558000483,บจ.แม็ค มอร์แกน จำกัด,6/2/2558," 1,000,000 ",ประกอบกิจการรับทำโฆษณาสื่อสิ่งพิมพ์ นิตยสาร ออกแบบผลิตภัณฑ์และเป็นที่ปรึกษาด้านการตลาด และรับออกแบบ,37 หมู่ที่ 5 ถนนกรีนพาร์ค  ต.คลองแห อ.หาดใหญ่ จ.สงขลา 90110
35,0905558000491,บจ.ท่าฉาง เอนเนอร์ยี่ โซลูชัน จำกัด,6/2/2558," 1,000,000 ",ประกอบกิจการขายอะไหล่และรับซ่อมบำรุงโรงงานอุตสาหกรรม,"54/2,54/3 ถนนศรีภูวนารถ  ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110"
36,0905558000556,บจ.ทีพีบี ไฟร์เวิร์ค จำกัด,9/2/2558," 1,000,000 ",นำเข้าและจำหน่ายดอกไม้ไฟ,10 ซอย2 ถนนคลองเรียน 2  ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110
37,0905558000564,บจ.ไมโครซอร์ซเทคโนโลยี จำกัด,9/2/2558," 1,000,000 ",ให้คำปรึกษา ออกแบบ จัดหาและติดตั้งเกี่ยวกับงานด้านวิศวกรรมไฟฟ้าและอิเล็กทรอนิกส์,90 ถนนกาญจนวนิช ซอย 21  ต.คอหงส์ อ.หาดใหญ่ จ.สงขลา 90110
38,0905558000572,บจ.ฟิวเจอร์เทค หาดใหญ่ จำกัด,9/2/2558," 1,000,000 ",จำหน่าย ให้เช่า ติดตั้ง ซ่อมบำรุงเครื่องคอมพิวเตอร์,245 ถนนศรีภูวนารถ  ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110
39,0905558000602,บจ.คิส หวันแดง จำกัด,10/2/2558," 1,000,000 ",ประกอบกิจการร้านจำหน่านอาหารและเครื่องดื่ม ภัตตาคาร บาร์และไนท์คลับ,26 ซอย9 ถนนราษฎร์อุทิศ  ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110
40,0905558000629,บจ.ฟูลฟิล คาร์ จำกัด,11/2/2558," 1,000,000 ",ประกอบกิจการรับเหมาช่วงซ่อมตัวถังและสีรถยนต์,906 หมู่ที่ 5 ถนนสนามบิน-บ้านกลาง  ต.ควนลัง อ.หาดใหญ่ จ.สงขลา 90110
41,0905558000637,บจ.พารากอล เซอร์เวย์เยอร์ 2015 จำกัด,12/2/2558," 1,000,000 ",รับตรวจสอบคุณภาพสินค้า,10 ซอย1 (ดีแลนด์นิเวศน์)  ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110
42,0905558000696,บจ.ฟูลฟิลเม้น โปรเจค จำกัด,17/2/2558," 1,000,000 ",ประกอบกิจการให้บริการบริหารทีมงานขายตรงสินค้า และให้คำปรึกษาเกี่ยวกับการจัดจำหน่าย,119/1 หมู่ที่ 3  ต.คลองแห อ.หาดใหญ่ จ.สงขลา 90110
43,0905558000751,บจ.พรีเทสท์ (ไทยแลนด์) จำกัด,20/2/2558," 1,000,000 ",บริการสอนเสริม การเตรียมสอบเข้ามหาวิทยาลัย,1 ถนนสุวรรณวงศ์  ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110
44,0905558000777,บจ.อัส-สลาม คอนสตรัคชั่น จำกัด,23/2/2558," 1,000,000 ",รับเหมาก่อสร้าง,211/4 หมู่ที่ 7  ต.ท่าช้าง อ.บางกล่ำ จ.สงขลา 90110
45,0905558000815,บจ.ลาภิณ เด็คคอร์ จำกัด,25/2/2558," 1,000,000 ",กิจกรรมบริการอื่น ๆ ส่วนบุคคลซึ่งมิได้จัดประเภทไว้ในที่อื่น,379/3 หมู่ที่ 1 ถนนเลี่ยงเมือง (สายเอเซีย)  ต.ควนลัง อ.หาดใหญ่ จ.สงขลา 90110
46,0905558000823,บจ.จีโอ แกรนด์ ดีเวลลอปเม้นท์ จำกัด,25/2/2558," 1,000,000 ",ประกอบกิจการด้านการพัฒนาที่ดิน,75/203 ถนนนิพัทธ์สงเคราะห์ 5  ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110
47,0905558000840,บจ.บ้านสวนภูภัทรา จำกัด,26/2/2558," 1,000,000 ",ประกอบกิจการบริการที่พักอาศัย อพาร์ทเม้นท์ให้เช่า,99 หมู่ที่ 1 ถนนท่าเคียน 7  ต.ควนลัง อ.หาดใหญ่ จ.สงขลา 90110
48,0905558000858,บจ.แอลพี พลาสติก ซัพพลาย จำกัด,26/2/2558," 1,000,000 ",ค้าเครื่องใช้พลาสติก,50 ถนนจุติอุทิศ 4  ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110
49,0903558000287,หจ.โรงสีพลจันทร์,10/2/2558," 1,000,000 ",ประกอบธุรกิจเป็นผู้จัดหาวัตถุดิบ วัสดุชีวมวลซึ่งเป็นผลพลอยได้จากการเกษตรหรือของเสีย,100 หมู่ที่ 7  ต.สำนักขาม อ.สะเดา จ.สงขลา 90120
50,0905558000726,บจ.บี.พี.เคมีคอล(1982) จำกัด,17/2/2558," 1,000,000 ",ประกอบกิจการจำหน่ายอุปกรณ์กำจัดขยะและอุปกรณ์ที่เกี่ยวข้องทุกชนิด,38/1 หมู่ที่ 9  ต.น้ำขาว อ.จะนะ จ.สงขลา 90130
51,0905558000904,บจ.พี.เอช.เซฟการ์ด จำกัด,27/2/2558," 1,000,000 ",ประกอบกิจการรักษาความปลอดภัย,16 หมู่ที่ 5  ต.ขุนตัดหวาย อ.จะนะ จ.สงขลา 90130
52,0903558000252,หจ.รัตน์ คลองแงะการาจ,9/2/2558," 1,000,000 ",ประกอบกิจการซ่อมแซม บำรุงรักษา อัดฉีด พ่นน้ำยากันสนิม สำหรับยานยนต์ ทุกชนิด,19 หมู่ที่ 5 ถนนควนสะตอ  ต.พังลา อ.สะเดา จ.สงขลา 90170
53,0905558000521,บจ.เอส.วาย.เอ็น.2015 จำกัด,9/2/2558," 1,000,000 ",ประกอบกิจการค้าไม้ยางพารา,110/2 หมู่ที่ 9  ต.กำแพงเพชร อ.รัตภูมิ จ.สงขลา 90180
