นิติบุคคลจัดตั้งเดือนธันวาคม  2558,,,,,,
ทั่วประเทศ,,,,,,
,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
16,0843558003121,หจ.วันซ์ อิน อะ บลู มูน กรุ๊ป,8/12/2558," 2,000,000 ",ประกอบกิจการร้านขายของที่ระลึก ร้านขายซื้อผ้า ร้านจิวเวอร์รี่,79/27 หมู่ที่ 1  ต.เกาะพะงัน อ.เกาะพะงัน จ.สุราษฎร์ธานี 84280
17,0843558003163,หจ.อิล บาราคูดา,11/12/2558," 2,000,000 ",ประกอบกิจการจำหน่ายอาหารและเครื่องดื่ม,51/23 หมู่ที่ 8  ต.เกาะพะงัน อ.เกาะพะงัน จ.สุราษฎร์ธานี 84280
18,0845558010048,บจ.เกาะเต่า เบสแคมป์ จำกัด,15/12/2558," 2,000,000 ",ประกอบกิจการจำหน่ายอาหารและเครื่องดื่ม,9/59 หมู่ที่ 2  ต.เกาะเต่า อ.เกาะพะงัน จ.สุราษฎร์ธานี 84280
19,0845558009864,บจ.ลีบูส ไอที จำกัด,4/12/2558," 2,000,000 ",การบริการเป็นตลาดกลางในการซื้อขานยสินค้าหรือบริการโดยใช้วิธีสื่อสารอิเล้กทรอนิคส์ผ่านระบบเครือข่ายอิ,212/18 หมู่ที่ 1  ต.เกาะพะงัน อ.เกาะพะงัน จ.สุราษฎร์ธานี 84280
20,0845558010145,บจ.อชิตัล ช็อป จำกัด,17/12/2558," 2,000,000 ",จำหน่ายเสื้อผ้าสำเร็จรูปนำเข้าจากต่างประเทศ,125/9 หมู่ที่ 3  ต.มะเร็ต อ.เกาะสมุย จ.สุราษฎร์ธานี 84310
21,0845558010111,บจ.บลู มูน จำกัด,17/12/2558," 2,000,000 ",ให้บริการเกี่ยวกับห้องพัก บังกาโล นวดเพื่อสุขภาพ สปา,130 หมู่ที่ 1  ต.มะเร็ต อ.เกาะสมุย จ.สุราษฎร์ธานี 84310
22,0843558003074,หจ.เพลย์ บาร์ สมุย,2/12/2558," 2,000,000 ",ประกอบกิจการ จำหน่ายอาหารและเครื่องดื่ม,108/20 หมู่ที่ 3  ต.มะเร็ต อ.เกาะสมุย จ.สุราษฎร์ธานี 84310
23,0845558010021,บจ.เวรี่ โซ เฟรช จำกัด,14/12/2558," 2,000,000 ",ประกอบกิจการจำหน่ายอาหารและเครื่องดื่ม ไอศครีม,146/66 หมู่ที่ 4  ต.มะเร็ต อ.เกาะสมุย จ.สุราษฎร์ธานี 84310
24,0845558009988,บจ.อาร์ท โฮเต็ล สมุย จำกัด,11/12/2558," 2,000,000 ",ประกอบกิจการให้บริการบริหารงานเกี่ยวกับโรงแรม ที่พัก รีสอร์ท,155/36 หมู่ที่ 2  ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320
25,0845558010030,บจ.สมุย พรีเมี่ยม วิลล่า จำกัด,15/12/2558," 2,000,000 ",ประกอบกิจการให้เช่าที่พัก บ้านพักอาศัย บ้านพักตากอากาศ บังกาโล และรีสอร์ท,53/41 หมู่ที่ 3  ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320
26,0845558009759,บจ.โฮลท์ - โคออพเพอเรชั่น จำกัด,1/12/2558," 2,000,000 ",ประกอบกิจการร้านอาหาร บาร์ไนคลับ จำหน่ายอาหาร และเครื่องดื่มทุกชนิด,91/21 หมู่ที่ 6  ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320
27,0845558010188,บจ.เมลิสสา จำกัด,21/12/2558," 2,000,000 ",ประกอบกิจการจำหน่ายอาหารและเครื่งดื่ม,80/23 หมู่ที่ 3  ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320
28,0845558009911,บจ.ซันยาตา สมุย จำกัด,8/12/2558," 2,000,000 ",ประกอบกิจการให้เช่าที่พักอาศัย รวมถึงให้เช่าอสังหาริมทรัพย์ทุกประเภท,115/39 หมู่ที่ 6  ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320
29,0845558010005,บจ.เวลคัม เฟรนด์ จำกัด,14/12/2558," 2,000,000 ",รับบริหารจัดการธุรกิจหรือกิจการด้านอสังหาริมทรัพย์และการก่อสร้างรวมทั้งรับดำเนินการพัฒนาต่างๆ,128/41 หมู่ที่ 1  ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320
30,0845558009996,บจ.เบรฟ วาย คิท จำกัด,14/12/2558," 2,000,000 ",รับบริหารจัดการธุรกิจหรือกิจการด้านอสังหาริมทรัพย์และการก่อสร้างรวมทั้งรับดำเนินการพัฒนาต่างๆ,128/41 หมู่ที่ 1  ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320
31,0845558010013,บจ.เพียว ไอส์แลนด์ เอ็นเตอร์เทนเม้นท์ จำกัด,14/12/2558," 2,000,000 ",รับบริหารจัดการธุรกิจหรือกิจการด้านอสังหาริมทรัพย์และการก่อสร้างรวมทั้งรับดำเนินการพัฒนาต่างๆ,128/41 หมู่ที่ 1  ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320
32,0845558009805,บจ.พาสชา (ไทยแลนด์) จำกัด,2/12/2558," 2,000,000 ",ประกอบกิจการโรงแรม รีสอร์ท บ้านพักตากอากาส,100/5 หมู่ที่ 5  ต.แม่น้ำ อ.เกาะสมุย จ.สุราษฎร์ธานี 84330
33,0845558010129,บจ.เออร์แบน เดลี่ จำกัด,17/12/2558," 2,000,000 ",จำหน่ายอาหารและเครื่องดื่ม,4/5 หมู่ที่ 1  ต.แม่น้ำ อ.เกาะสมุย จ.สุราษฎร์ธานี 84330
34,0843558003201,หจ.ทรัพย์ศิวะ 2559,18/12/2558," 1,500,000 ",ประกอบกิจการรับเหมาก่อสร้างและงานโยธาทุกประเภท,50/2 หมู่ที่ 1  ต.หัวเตย อ.พุนพิน จ.สุราษฎร์ธานี 84130
35,0843558003198,หจ.เพ็ญพล ออแกไนซ์เซอร์,18/12/2558," 1,000,000 ",การบริการอื่น ๆ ที่เกี่ยวกับการพิมพ์,75/37 หมู่ที่ 2 ถนนศรีวิชัย  ต.มะขามเตี้ย อ.เมืองสุราษฎร์ธานี จ.สุราษฎร์ธานี 84000
36,0845558009830,บจ.เจพี.การโยธา (สุราษฎร์ธานี) จำกัด,4/12/2558," 1,000,000 ",รับเหมาก่อสร้าง,95/66 หมู่ที่ 5 ถนนตลาดล่าง  ต.บางกุ้ง อ.เมืองสุราษฎร์ธานี จ.สุราษฎร์ธานี 84000
37,0845558010200,บจ.คิวบิวตี้  พลัส (ประเทศไทย) จำกัด,22/12/2558," 1,000,000 ",ขายส่งเครื่องสำอางค์,23/405 หมู่ที่ 2 ถนนกาญจนวิถี  ต.บางกุ้ง อ.เมืองสุราษฎร์ธานี จ.สุราษฎร์ธานี 84000
38,0843558003066,หจ.ให้คุณ ทรานสปอร์ต,2/12/2558," 1,000,000 ",ให้บริการรถโดยสารไม่ประจำทาง,136/22 หมู่ที่ 1  ต.วัดประดู่ อ.เมืองสุราษฎร์ธานี จ.สุราษฎร์ธานี 84000
39,0845558009953,บจ.นานนท์ พร็อพเพอร์ตี้ จำกัด,9/12/2558," 1,000,000 ",ประกอบกิจการรับจ้างออกแบบ ตกแต่ง ดูแลรักษาต้นไม้ สนามหญ้าและสวน และให้บริการปรับพื้นที่,57/95 หมู่ที่ 3 ถนนพ่อขุนทะเล  ต.มะขามเตี้ย อ.เมืองสุราษฎร์ธานี จ.สุราษฎร์ธานี 84000
40,0845558009945,บจ.อริส แอนด์ เร็กซ์ จำกัด,9/12/2558," 1,000,000 ",ประกอบกิจการร้านเสริมสวย สักคิ้ว สักปาก ทำเล็บ นวด สปา,3/146 หมู่ที่ 3 ถนนนาเนียน  ต.มะขามเตี้ย อ.เมืองสุราษฎร์ธานี จ.สุราษฎร์ธานี 84000
41,0845558010081,บจ.นายน์โนเบิล จำกัด,16/12/2558," 1,000,000 ",ประกอบกิจการซื้อขายรับจ้างผลิตสิ่งพิมพ์หนังสือเรียนนิตยสารแผ่นพับแผ่นซีดีผลิตสื่อโฆษณาสื่อการเรียน,403 หมู่ที่ 3  ต.ขุนทะเล อ.เมืองสุราษฎร์ธานี จ.สุราษฎร์ธานี 84100
42,0845558009961,บจ.ไชยาทรายเงิน จำกัด,11/12/2558," 1,000,000 ",ประกอบกิจการ รับเหมาก่อสร้าง จำหน่ายวัสดุก่อสร้าง สร้างและซ่อมแซมอาคาร บ้านพัก รีสอร์ทฯ,88/8 หมู่ที่ 6  ต.ป่าเว อ.ไชยา จ.สุราษฎร์ธานี 84110
43,0845558010056,บจ.ทันใจสุขเจริญ เซอร์วิส จำกัด,15/12/2558," 1,000,000 ",ประกอบกิจการรับขุด ลอก ถนน คู คลอง หนอง บึง ถมที่ ปรับพื้นที่,225 ถนนพูลศิริ  ต.นาสาร อ.บ้านนาสาร จ.สุราษฎร์ธานี 84120
44,0845558010099,บจ.สหภัณฑ์อิฐแดง แอนด์ คอนสตรัคชั่น จำกัด,16/12/2558," 1,000,000 ",ประกอบกิจการการผลิตอิฐและจำหน่ายอิฐชนิดต่างๆ,114 หมู่ที่ 3  ต.หนองไทร อ.พุนพิน จ.สุราษฎร์ธานี 84130
45,0845558009732,บจ.ต้นปัญญา คอนสตรัคชั่น จำกัด,1/12/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้างอาคารและงานก่อสร้างอย่างอื่นทุกชนิด,20/22 หมู่ที่ 4  ต.ท่าโรงช้าง อ.พุนพิน จ.สุราษฎร์ธานี 84130
46,0843558003180,หจ.เอ็มซี เซอร์วิส พลัส2,15/12/2558," 1,000,000 ",ประกอบกิจการบริการรับแลกเปลี่ยนเงินตราต่างประเทศ เมื่อได้รับอนุญาตจากธนาคารแห่งประเทศไทย,73 หมู่ที่ 3  ต.หัวเตย อ.พุนพิน จ.สุราษฎร์ธานี 84130
47,0845558010234,บจ.สโมสรฟุตบอลสุราษฎร์ เอฟ.ซี. 2016 จำกัด,24/12/2558," 1,000,000 ",ประกอบกิจการ สโมสรฟุตบอล,7 หมู่ที่ 3  ต.ท่าโรงช้าง อ.พุนพิน จ.สุราษฎร์ธานี 84130
48,0845558009902,บจ.มดแกล้วกล้า จำกัด,8/12/2558," 1,000,000 ",ประกอบกิจการซื้อขาย น้ำยางพารา เศษยาง ยางแผ่น แปรรูปผลิตภัณฑ์ยางพารา ผลิตภัณฑ์ยางพารา,49 หมู่ที่ 4  ต.ประสงค์ อ.ท่าชนะ จ.สุราษฎร์ธานี 84170
49,0843558003252,หจ.สุราษฎร์แสงสุวรรณกรุ๊ป,25/12/2558," 1,000,000 ",ประกอบกิจการสถานีบริการน้ำมันเชื้อเพลิง จำหน่ายน้ำมันเชื้อเพลิง,237 หมู่ที่ 8  ต.คันธุลี อ.ท่าชนะ จ.สุราษฎร์ธานี 84170
50,0843558003244,หจ.พีรพัฒณ์ เมืองเวียง,24/12/2558," 1,000,000 ",รับเหมาก่อสร้าง,44/3 หมู่ที่ 7  ต.เวียงสระ อ.เวียงสระ จ.สุราษฎร์ธานี 84190
51,0843558003210,หจ.ภมรชัยการโยธา,21/12/2558," 1,000,000 ",รับเหมาก่อสร้าง,257/8 หมู่ที่ 1  ต.เวียงสระ อ.เวียงสระ จ.สุราษฎร์ธานี 84190
52,0845558009848,บจ.ช.เชนณ์ 2009 จำกัด,4/12/2558," 1,000,000 ",รับเหมาก่อสร้าง,201/29 หมู่ที่ 1  ต.เวียงสระ อ.เวียงสระ จ.สุราษฎร์ธานี 84190
53,0843558003112,หจ.ภูริ รีไซเคิล,4/12/2558," 1,000,000 ",ค้าเม็ดพลาสติกทุกประเภท เครื่องคัดแยกขยะ เม็ดพลาสติกและขยะรีไซเคิล,399/1 หมู่ที่ 1  ต.เวียงสระ อ.เวียงสระ จ.สุราษฎร์ธานี 84190
54,0845558010242,บจ.อัญชลี การ์เดนท์ จำกัด,24/12/2558," 1,000,000 ",ธุรกิจโรงแรม,104/29 หมู่ที่ 1  ต.เวียงสระ อ.เวียงสระ จ.สุราษฎร์ธานี 84190
55,0843558003104,หจ.เพชรทอง 1959,4/12/2558," 1,000,000 ",รับเหมาก่อสร้าง,108 หมู่ที่ 9  ต.ดอนสัก อ.ดอนสัก จ.สุราษฎร์ธานี 84220
56,0845558009937,บจ.เชี่ยวหลานเซอร์วิส จำกัด,9/12/2558," 1,000,000 ",ประกอบกิจการ บริการจัดหาที่พักและบริการอาหาร,215 หมู่ที่ 4  ต.เขาพัง อ.บ้านตาขุน จ.สุราษฎร์ธานี 84230
57,0843558003082,หจ.แสงวิโรจน์ คอนกรีต,3/12/2558," 1,000,000 ",ผลิตและจำหน่ายคอนกรีตผสมเสร็จ แผ่นพื้น เสา อิฐ ท่อ บล็อค คอนกรีตทุกชนิด,178 หมู่ที่ 3  ต.คลองชะอุ่น อ.พนม จ.สุราษฎร์ธานี 84250
58,0843558003091,หจ.กอบชัย คอนสตรัคชั่น,3/12/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,178 หมู่ที่ 3  ต.คลองชะอุ่น อ.พนม จ.สุราษฎร์ธานี 84250
59,0845558009813,บจ.ฟิล แฟมิลี่ จำกัด,3/12/2558," 1,000,000 ",ประกอบกิจการประเภทร้านอาหารบาร์และเครื่องดื่ม,128/10 หมู่ที่ 1  ต.เกาะพะงัน อ.เกาะพะงัน จ.สุราษฎร์ธานี 84280
60,0845558009821,บจ.บีเจอร์เร่ จำกัด,4/12/2558," 1,000,000 ",ประกอบกิจการพัฒนาอสังหาริมทรัพย์,24/40 หมู่ที่ 2  ต.เกาะเต่า อ.เกาะพะงัน จ.สุราษฎร์ธานี 84280
61,0845558009775,บจ.เมอราวิลล่า แอนด์ ไบค์ เกาะเต่า จำกัด,2/12/2558," 1,000,000 ",ประกอบกิจการให้บริการ ให้เช่าบ้านพักอาศัย,5/26 หมู่ที่ 1  ต.เกาะเต่า อ.เกาะพะงัน จ.สุราษฎร์ธานี 84280
62,0845558009741,บจ.ออกซิเจน เกาะเต่า จำกัด,1/12/2558," 1,000,000 ",ประกอบกิจการจำหน่ายตั๋วโดยสารทุกชนิด รวมถึงเพ็คเก็จที่พักโรงแรม,18/5 หมู่ที่ 3  ต.เกาะเต่า อ.เกาะพะงัน จ.สุราษฎร์ธานี 84280
63,0845558010072,บจ.ที.ซี.เอช. ดีไซน์ จำกัด,16/12/2558," 1,000,000 ",ประกอบกิจการรับทำเฟอร์นิเจอร์ทุกชนิด รับออกแบบตกแต่งภายในอาคาร สำนักงาน ทุกชนิด,12/18 หมู่ที่ 3  ต.ท่าทองใหม่ อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี 84290
64,0843558003139,หจ.บ้านแม่น้ำ เอ็กซ์เช้นจ์,8/12/2558," 1,000,000 ",ประกอบกิจการเกี่ยวกับแลกเปลี่ยนเงินตราต่างประเทศ,101/30 หมู่ที่ 1  ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320
65,0843558003147,หจ.พี แอนด์ ที (สมุย) มันนี่ เซอร์วิส 3,9/12/2558," 1,000,000 ",บริการรับซื้อ ขาย แลกเปลี่ยน เงินตราต่างประเทศ เว้นแต่เมื่อได้รับอนุญาตจากหน่วยงานที่เกี่ยวข้อง,191/6 หมู่ที่ 2  ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320
66,0845558009929,บจ.บ้าน บางรัก จำกัด,9/12/2558," 1,000,000 ",ประกอบกิจการให้เช่า ซื้อ ขาย ทรัพย์สิน,21/27 หมู่ที่ 4  ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320
67,0845558009856,บจ.บ้าน สุนิสา จำกัด,4/12/2558," 1,000,000 ",ประกอบกิจการให้เช่า ซื้อ ขาย ทรัพย์สิน,21/27 หมู่ที่ 4  ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320
68,0845558009872,บจ.ไชยสกุล คอนสตรัคชั่น จำกัด,8/12/2558," 1,000,000 ",ประกอบกิจการรับเหมาตกแต่งสวน งานจัดสวน,73/67 หมู่ที่ 6  ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320
69,0845558009970,บจ.พร็อพเพอร์ตี้ คอนเซียจ จำกัด,11/12/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้างอาคาร อาคารที่พักอาศัย,69/34 หมู่ที่ 5  ต.แม่น้ำ อ.เกาะสมุย จ.สุราษฎร์ธานี 84330
70,0845558010251,บจ.บลูสกาย คอทเทจ จำกัด,25/12/2558," 1,000,000 ",ประกอบกิจการสร้าง ซื้อ ขาย ให้เช่า อสังหาริมทรัพย์,80/10 หมู่ที่ 1  ต.แม่น้ำ อ.เกาะสมุย จ.สุราษฎร์ธานี 84330
71,0845558010293,บจ.อาร์พีจี  ลอว์เยอร์ จำกัด,30/12/2558," 1,000,000 ",ประกอบธุรกิจบริการรับว่าความ รวมทั้งเป็นที่ปรึกษาและให้คำแนะนำปัญหาเกี่ยวกับด้านกฏหมาย,66/8 หมู่ที่ 1  ต.แม่น้ำ อ.เกาะสมุย จ.สุราษฎร์ธานี 84330
72,0845558010196,บจ.ฟีลลิ่ง กู๊ด เกาะสมุย จำกัด,22/12/2558," 1,000,000 ",ประกอบกิจการให้บริการเป็นที่ปรึกษา แนะนำ เกี่ยวกับการจัดการธุรกิจการตลาด การบริหาร ทุกประเภท,122/6 หมู่ที่ 2  ต.แม่น้ำ อ.เกาะสมุย จ.สุราษฎร์ธานี 84330
73,0845558010269,บจ.เค.ที.พี.อิเล็คทริคอล แอนด์ เอ็นจิเนียริ่ง จำกัด,25/12/2558," 1,000,000 ",รับเหมาก่อสร้าง,179/5 หมู่ที่ 4  ต.ปากแพรก อ.ดอนสัก จ.สุราษฎร์ธานี 84340
74,0845558010218,บจ.เอ็มจี บลู สกาย จำกัด,23/12/2558," 500,000 ",ประกอบกิจการซื้อ ขาย อสังหาริมทรัพย์,404/68 หมู่ที่ 1  ต.มะเร็ต อ.เกาะสมุย จ.สุราษฎร์ธานี 84310
75,0843558003236,หจ.ทิพย์วรรณ กรุ๊ป 99,23/12/2558," 300,000 ",การขนส่งสินค้าอื่นๆ  ทางถนน,64/469 หมู่ที่ 4  ต.หัวเตย อ.พุนพิน จ.สุราษฎร์ธานี 84130
76,0845558010161,บจ.สตอร์มมี่ เวทเตอร์ จำกัด,18/12/2558," 300,000 ",ให้เช่า ซื้อ ขาย ทรัพย์สิน,4/4 หมู่ที่ 3  ต.หน้าเมือง อ.เกาะสมุย จ.สุราษฎร์ธานี 84140
77,0845558009783,บจ.เดอะ คิวบ์ สมุย จำกัด,2/12/2558," 300,000 ",รับบริหารจัดการธุรกิจหรือกิจการด้านอสังหาริมทรพัย์และการก่อสร้างรวมทั้งรับดำเนินการพัฒนาต่างๆ,128/41 หมู่ที่ 1  ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320
78,0845558009881,บจ.ฮอว์ค คลิฟฟ์ จำกัด,8/12/2558," 300,000 ",รับบริหารจัดการธุรกิจหรือกิจการด้านอสังหาริมทรัพย์และการก่อสร้างรวมทั้งรับดำเนินการพัฒนาต่างๆ,128/41 หมู่ที่ 1  ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320
1,0855558000328,บจ.เฮอริเทจ แอท แฮบบิแทท จำกัด,23/12/2558," 1,000,000 ",ประกอบกิจการโรงแรม ภัตตาคาร บาร์ ไนท์คลับ,101/5 หมู่ที่ 1  ต.บางริ้น อ.เมืองระนอง จ.ระนอง 85000
2,0853558000369,หจ.ช.นิภัช  ก่อสร้าง,9/12/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,4/12 หมู่ที่ 1  ต.น้ำจืดน้อย อ.กระบุรี จ.ระนอง 85110
3,0853558000377,หจ.โอ.เค.ฮาร์ดแวร์ ออล ทูลส์,14/12/2558," 900,000 ",จำหน่ายอุปกรร์ตกแต่งภายใน อุปกรณ์ฮาร์ดแวร์งานก่อสร้างทุกชนิด,389/6 ถนนเรืองราษฎร์  ต.เขานิเวศน์ อ.เมืองระนอง จ.ระนอง 85000
1,0865558000948,บจ.ทะเลทรัพย์ ฟรีซ ดราย จำกัด,11/12/2558," 6,500,000 ",ประกอบกิจการค้า ส่งออก จำหน่ายอาหารสด ผลไม้สด ผลไม้แปรรูป และผลไม้อบแห้งทุกชนิด,88/1 หมู่ที่ 4  ต.ทะเลทรัพย์ อ.ปะทิว จ.ชุมพร 86160
2,0865558000972,บจ.ทุ่งคากลการ จำกัด,22/12/2558," 5,000,000 ",ซ่อมบำรุงยานยนต์,162/1 หมู่ที่ 6  ต.ทุ่งคา อ.เมืองชุมพร จ.ชุมพร 86100
3,0863558000717,หจ.นพมิตรธุรกิจ,24/12/2558," 4,000,000 ",รับเหมาก่อสร้าง,136 หมู่ที่ 6  ต.ทุ่งคา อ.เมืองชุมพร จ.ชุมพร 86100
4,0863558000709,หจ.ประภานัน เพาเวอร์ อิเลคทริค,23/12/2558," 3,000,000 ","ประกอบกิจการติดตั้งหม้อแปลงไฟฟ้า,อุปกรณ์ไฟฟ้า,โคมไฟถนน ระบบไฟฟ้าภายในภายนอกอาคาร",38/2 หมู่ที่ 5  ต.บางหมาก อ.เมืองชุมพร จ.ชุมพร 86000
5,0865558000964,บจ.ที.ชาย ก่อสร้าง จำกัด,22/12/2558," 1,000,000 ",รับเหมาก่อสร้าง,14/2 หมู่ที่ 9  ต.บางหมาก อ.เมืองชุมพร จ.ชุมพร 86000
6,0865558000981,บจ.กรีนไพน์ ทรี จำกัด,24/12/2558," 1,000,000 ",ธุรกิจขายกาแฟ,193 หมู่ที่ 10  ต.นาทุ่ง อ.เมืองชุมพร จ.ชุมพร 86000
7,0865558000999,บจ.ธีราพรรธก์ อะโกรเทค จำกัด,28/12/2558," 1,000,000 ",ผลิตปุ๋ยเคมี,87 หมู่ที่ 4  ต.ท่ามะพลา อ.หลังสวน จ.ชุมพร 86110
8,0863558000695,หจ.ภิญญาพัชญ์  สเตชั่นเนอรี่,22/12/2558," 1,000,000 ",จำหน่ายอุปกรณ์สำนักงาน,17/5 หมู่ที่ 9  ต.วังไผ่ อ.เมืองชุมพร จ.ชุมพร 86190
9,0865558000956,บจ.ปรเมษฐ์ อินเตอร์เทรด จำกัด,21/12/2558," 1,000,000 ",จำหน่ายผลไม้ตามฤดูกาล,94 หมู่ที่ 6  ต.ทุ่งตะไคร อ.ทุ่งตะโก จ.ชุมพร 86220
10,0863558000661,หจ.ละแมอินเว้นท์,1/12/2558," 500,000 ",ประกอบกิจการสถานีวิทยุธุรกิจชุมชน รับผลิตและบริการสื่อประชาสัมพันธ์ต่างๆ,134/1 หมู่ที่ 1  ต.ทุ่งคาวัด อ.ละแม จ.ชุมพร 86170
11,0863558000679,หจ.ซีเวิร์ลธุรกิจ,14/12/2558," 90,000 ",รับเหมาก่อสร้าง,36 หมู่ที่ 9  ต.สวนแตง อ.ละแม จ.ชุมพร 86170
12,0863558000687,หจ.พชร ไพลิน เทรดดิ้ง,15/12/2558," 30,000 ",ประกอบกิจการตัวแทนจำหน่ายสินค้าของ บริษัท ซัคเซสมอร์ บีอิ้ง  จำกัด,33 หมู่ที่ 3  ต.นาชะอัง อ.เมืองชุมพร จ.ชุมพร 86000
1,0905558005116,บจ.เซาท์เทิร์น เอเซีย จำกัด,3/12/2558," 300,000,000 ",ประกอบกิจการซื้อขายอสังหาริมทรัพย์ที่เป็นของตนเองเพื่อที่พักอาศัย,888/40 หมู่ที่ 7 ถนนกาญจนวนิช  ต.สำนักขาม อ.สะเดา จ.สงขลา 90120
2,0905558005141,บจ.บีดี หกหกหก คอนสตรัคชั่น จำกัด,4/12/2558," 5,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง อาคารพาณิชย์ สถานที่ทำการ เขื่อน อุโมงค์ และงานก่อสร้างอื่น ๆ,1063/140 หมู่ที่ 1 ถนนสนามบิน - ลพบุรีราเมศวร์  ต.ควนลัง อ.หาดใหญ่ จ.สงขลา 90110
3,0905558005167,บจ.ซี.เจ. มอเตอร์ เซล (หาดใหญ่) จำกัด,8/12/2558," 5,000,000 ",ประกอบกิจการจำหน่ายรถยนต์และรถทุกชนิด,491/39 ถนนเพชรเกษม  ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110
4,0905558005094,บจ.หาดใหญ่ซาวด์สตาร์ จำกัด,1/12/2558," 5,000,000 ",ประกอบกิจการจำหน่ายเครื่องใช้ไฟฟ้า,92 ถนนศุภสารรังสรรค์  ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110
5,0905558005183,บจ.ดีดี แอน ดี จำกัด,8/12/2558," 5,000,000 ",ประกอบกิจการขนส่งภายในประเทศ,16/43 หมู่ที่ 7 ซอยไทย-จังโหลน 16  ต.สำนักขาม อ.สะเดา จ.สงขลา 90120
6,0905558005256,บจ.วี.เอ็น.พี.วอซ์ท แอนด์ อีเล็คทริค จำกัด,22/12/2558," 2,000,000 ",ประกอบกิจการร้านขายปลีกเครื่องใช้ไฟฟ้าในครัวเรือน,999/6-7 หมู่ที่ 4  ต.คลองแห อ.หาดใหญ่ จ.สงขลา 90110
7,0905558005272,บจ.เกรทโอเรียนเต็ลเทรดดิ้ง จำกัด,28/12/2558," 1,040,000 ",จำหน่ายขายปลีกส่งพัดลมอุตสาหกรรม,245/2 ถนนกาญจนวณิชย์  ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110
8,0903558003049,หจ.บ้านและที่ดินสงขลา,24/12/2558," 1,000,000 ",ประกอบกิจการบริหารสินทรัพย์ ซื้อ ขาย จำนอง ขายฝาก จัดหา เช่า อสังหาริมทรัพย์ทุกชนิด,257 ถนนรามวิถี  ต.บ่อยาง อ.เมืองสงขลา จ.สงขลา 90000
9,0905558005213,บจ.จีที เซอร์วิส แอนด์ เทรดดิ้ง จำกัด,17/12/2558," 1,000,000 ",จำหน่ายเครื่องอุปโภคบริโภค และให้บริการรถเช่า,240/11 หมู่ที่ 2  ต.พะวง อ.เมืองสงขลา จ.สงขลา 90100
10,0903558003065,หจ.หัสนีย์ โซลูชั่น,29/12/2558," 1,000,000 ",การจัดหาไอน้ำและระบบการปรับอากาศ,51 หมู่ที่ 2 ซอยสามสกุล  ต.ควนลัง อ.หาดใหญ่ จ.สงขลา 90110
11,0903558002972,หจ.กนกจินดาก่อสร้าง,3/12/2558," 1,000,000 ",รับเหมาก่อสร้าง,2 หมู่ที่ 5  ต.ท่าช้าง อ.บางกล่ำ จ.สงขลา 90110
12,0905558005124,บจ.ส. เกียรติเจริญทรัพย์ จำกัด,4/12/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,50 หมู่ที่ 3 ซอยประชาชอบ  ต.ควนลัง อ.หาดใหญ่ จ.สงขลา 90110
13,0903558002948,หจ.มีสวัสดิ์ตันเจริญ,1/12/2558," 1,000,000 ",รับเหมาก่อสร้าง,400 หมู่ที่ 4  ต.คลองแห อ.หาดใหญ่ จ.สงขลา 90110
14,0905558005221,บจ.มาเนร่า จำกัด,17/12/2558," 1,000,000 ",ประกอบกิจการเป็นนายหน้าในการ จัดซื้อ จัดหา จัดส่งวัสดุก่อสร้างทุกชนิด,15 ถนนกาญจนวณิชย์  ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110
