นิติบุคคลจัดตั้งเดือนตุลาคม  2558,,,,,,,,
ทั่วประเทศ,,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,,
19,0403558003124,หจ.อุรุพงศ์การช่าง,6/10/2558," 1,000,000 ",รับเหมาก่อสร้าง,9/2 หมู่ที่ 12 ถนนราษฎรคนึง  ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
20,0403558003205,หจ.พีอาร์เอส เอ็นจิเนียริ่ง 2015,12/10/2558," 1,000,000 ",ค้าอุปกรณ์ไฟฟ้า อุปกรณ์ชุดจานรับสัญญาณดาวเทียม อุปกรณ์สื่อสาร,670/72 ถนนกลางเมือง  ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
21,0403558003264,หจ.ดี - ปริ้น ขอนแก่น,16/10/2558," 1,000,000 ",กิจการจัดตัวหนังสือ การจัดรูปประกอบข้อมูลก่อนการพิมพ์การบริการเพลท,7/80 หมู่ที่ 17  ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
22,0403558003426,หจ.จันทิพย์ คอนสตรัคชั่น,22/10/2558," 1,000,000 ",กิจกรรมงานวิศวกรรมและงานให้คำปรึกษาด้านเทคนิคที่เกี่ยวข้อง,265 หมู่ที่ 2  ต.บ้านเป็ด อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
23,0403558003493,หจ.ทีที คาร์เซนเตอร์ 2015,29/10/2558," 1,000,000 ",รับซื้อ ขาย แลกเปลี่ยน รถยนต์ขนาดเล็กมือสอง,226/84 หมู่ที่ 6  ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
24,0403558003515,หจ.ณัฐพัชร์ ทรานสปอร์ต,29/10/2558," 1,000,000 ",ให้บริการเช่ารถยนต์โดยสาร รถยนต์รับจ้างไม่ประจำเส้นทาง,249 หมู่ที่ 6  ต.บ้านเป็ด อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
25,0403558003523,หจ.ขอนแก่นวิศวการโยธา (2015),29/10/2558," 1,000,000 ",กิจกรรมการก่อสร้างเฉพาะด้านอื่นซึ่งมิได้จัดประเภทไว้เช่น การดัดเหล็ก การก่ออิฐ การมุงหลังคา เป็นต้น,13 หมู่บ้านวังตอ หมู่ที่ 14  ต.บ้านค้อ อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
26,0405558002553,บจ.กรีนไลน์ โปรดักชัน (ไทยแลนด์) จำกัด,1/10/2558," 1,000,000 ",ผลิตและจัดจำหน่าย นำเข้าส่งออก ผลิตภัณฑ์จากไม้ ผลิตภัณฑ์ทางการเกษตร วัตถุดิบเชื้อเพลิงชีวมวล,251/8 หมู่ที่ 13  ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
27,0405558002561,บจ.เจริญกิจ ไอที เน๊ตเวิร์ค จำกัด,2/10/2558," 1,000,000 ",การรับปรึกษาและวางระบบงานทุกประเภทในด้านการพัฒนาโปรแกรมระบบคอมพิวเตอร์,145/18 หมู่ที่ 16  ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
28,0405558002600,บจ.วรเวช8795 จำกัด,12/10/2558," 1,000,000 ",กิจการก่อสร้าง,183 หมู่ที่ 14  ต.บ้านเป็ด อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
29,0405558002626,บจ.ออน กราวด์ แมเนจเม้นท์ จำกัด,13/10/2558," 1,000,000 ",รับจ้างทำโฆษณาศิลป์ ศิลปะ ผลิตสื่อ และออกแบบโฆษณา ทุกชนิด,11/132 หมู่ที่ 14  ต.บ้านเป็ด อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
30,0405558002634,บจ.ฮิลล์ทูฮิลล์ เทคโนโลยี (ประเทศไทย) จำกัด,14/10/2558," 1,000,000 ",รับเหมาก่อสร้างและงานก่อสร้างทุกชนิด,191/60 หมู่ที่ 16  ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
31,0405558002642,บจ.เพิ่มทรัพย์ 1024 จำกัด,15/10/2558," 1,000,000 ",ประกอบกิจการผลิต รับซื้อ และนำเข้าสินค้าประเภทอาหาร อาหารเสริมทั้งใน และภายนอกประเทศเพื่อจำหน่าย,433/33 หมู่ที่ 5  ต.เมืองเก่า อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
32,0405558002669,บจ.ซุง คอนสตรัคชั่น จำกัด,15/10/2558," 1,000,000 ",ประกอบกิจการก่อสร้าง,199 หมู่ที่ 11  ต.เมืองเก่า อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
33,0405558002677,บจ.อินทิเกรท กรุ๊ป จำกัด,16/10/2558," 1,000,000 ",รับออกแบบเว็บไซต์ รับเขียนโปรแกรม ทำสื่อการสอนทุกชนิด,222/14 หมู่ที่ 16  ต.บ้านเป็ด อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
34,0405558002685,บจ.เคเคที พรอพเพอร์ตี้ จำกัด,16/10/2558," 1,000,000 ",ซื้อ ขาย ให้เช่าอสังหาริมทรัพย์,222/14 หมู่ที่ 16  ต.บ้านเป็ด อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
35,0405558002693,บจ.ไมซ์ โซลูชั่น(ประเทศไทย) จำกัด,19/10/2558," 1,000,000 ","การจัดหรือให้บริการต่างๆที่จัดขึ้นที่เกี่ยวข้องกับ MICE (MICE-Meeting,Incentive,Confernce,Event)",77/12 หมู่ที่ 9  ต.เมืองเก่า อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
36,0405558002723,บจ.พีพี มีเดีย 2015 จำกัด,21/10/2558," 1,000,000 ",การจัดพิมพ์จำหน่ายหรือเผยแพร่หนังสือพิมพ์ลงบนสื่อต่างๆ(ยกเว้นทางออนไลน์),567/78-79 หมู่ที่ 8  ต.เมืองเก่า อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
37,0405558002766,บจ.โพธิ์ชัย กรุ๊ป จำกัด,26/10/2558," 1,000,000 ",จำหน่ายสินค้าอุปโภคบริโภคภายในประเทศและส่งออกไปขายยังต่างประเทศ,151 หมู่ที่ 6  ต.บ้านหว้า อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
38,0405558002821,บจ.กู๊ดเนส โปรดักส์ (ไทยแลนด์) จำกัด,27/10/2558," 1,000,000 ",ขายบรรจุภัณฑ์สินค้า,529/421 หมู่ที่ 22  ต.บ้านเป็ด อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
39,0405558002910,บจ.เบิร์ด คาร์โก้ จำกัด,30/10/2558," 1,000,000 ",การขนส่งและขนถ่ายสินค้ารวมถึงคนโดยสารที่ท่าอากาศยาน,668/36 ถนนกลางเมือง  ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
40,0403558003175,หจ.มหาสารคาม ปิโตรเลียม 2015,8/10/2558," 1,000,000 ",ค้าน้ำมันเชื้อเพลิง สถานีบริการน้ำมันเชื้อเพลิง,209 หมู่ที่ 5  ต.บ้านไผ่ อ.บ้านไผ่ จ.ขอนแก่น 40110,,
41,0405558002740,บจ.เพชรศรีเจริญ บ้านไผ่ จำกัด,22/10/2558," 1,000,000 ",สถานีบริการน้ำมันเชื้อเพลิง,655/9-12 หมู่ที่ 2 ถนนแจ้างสนิท(บ้านไผ่-บรบือ)  ต.ในเมือง อ.บ้านไผ่ จ.ขอนแก่น 40110,,
42,0405558002839,บจ.บ้านไผ่ ทรี เพาเวอร์ จำกัด,28/10/2558," 1,000,000 ",ประกอบกิจการค้า จำหน่ายสินค้าอุปโภค บริโภค เช่น ผ้าห่ม เครื่องใช้ไฟฟ้ารวมถึง อิเล็คทรอนิกส์ต่างๆ,92 หมู่ที่ 3  ต.หินตั้ง อ.บ้านไผ่ จ.ขอนแก่น 40110,,
43,0405558002791,บจ.เอ็นเอ็นพี นอร์ธอีสเทิร์น เทรดดิ้ง จำกัด,26/10/2558," 1,000,000 ",นำเข้าส่งออกและจำหน่ายสินค้าอุปโภคและบริโภคทุกชนิด,78 หมู่ที่ 10  ต.ลอมคอม อ.พล จ.ขอนแก่น 40120,,
44,0403558003094,หจ.จูน คอนสตรัคชั่น,5/10/2558," 1,000,000 ",รับเหมาก่อสร้าง,132 หมู่ที่ 14  ต.หนองไผ่ อ.ชุมแพ จ.ขอนแก่น 40130,,
45,0403558003108,หจ.ทองคำทำบ้านสวย,5/10/2558," 1,000,000 ",รับออกแบบ ตกแต่งภายในและภายนอกบ้าน ที่พัก อาคาร ห้องชุด โรงงาน,91 หมู่ที่ 5  ต.นาเพียง อ.ชุมแพ จ.ขอนแก่น 40130,,
46,0403558003167,หจ.รากแก้ว 2015,7/10/2558," 1,000,000 ",รับเหมาก่อสร้างทุกชนิด,126 หมู่ที่ 16  ต.ชุมแพ อ.ชุมแพ จ.ขอนแก่น 40130,,
47,0403558003230,หจ.เงินดีฟู๊ดโปรดักส์,15/10/2558," 1,000,000 ",ผลิตผลิตภัณฑ์อาหารแปรรูปและถนอมเนื้อสัตว์,126/1 หมู่ที่ 10  ต.หนองไผ่ อ.ชุมแพ จ.ขอนแก่น 40130,,
48,0403558003248,หจ.อรกัญญาการก่อสร้าง,15/10/2558," 1,000,000 ",ขายส่ง อิฐ หิน ปูน ทรายและผลิตภัณฑ์คอนกรีต,40 หมู่ที่ 9  ต.ชุมแพ อ.ชุมแพ จ.ขอนแก่น 40130,,
49,0403558003302,หจ.พี พอต การช่าง(2015),16/10/2558," 1,000,000 ",รับเหมาก่อสร้างทุกชนิดและงานโยธาทุกประเภท,219 หมู่ที่ 3  ต.โนนอุดม อ.ชุมแพ จ.ขอนแก่น 40130,,
50,0403558003337,หจ.พลบดี ก่อสร้าง,16/10/2558," 1,000,000 ",รับเหมาก่อสร้าง,213 หมู่ที่ 10  ต.หนองเสาเล้า อ.ชุมแพ จ.ขอนแก่น 40130,,
51,0403558003345,หจ.อึ๊งวัฒนารุ่งเรือง 2015,19/10/2558," 1,000,000 ",รับออกแบบ ตกแต่งภายในและภายนอกบ้าน ที่พัก อาคาร ห้องชุด โรงงาน,59 หมู่ที่ 10  ต.นาเพียง อ.ชุมแพ จ.ขอนแก่น 40130,,
52,0403558003418,หจ.เงินต่อเงิน 2015,22/10/2558," 1,000,000 ",รับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารที่พักอาศัย,323 หมู่ที่ 2  ต.โนนอุดม อ.ชุมแพ จ.ขอนแก่น 40130,,
53,0405558002804,บจ.ณัฐฏิกา ฟาร์ม จำกัด,26/10/2558," 1,000,000 ",ป่ระกอบกิจการทำฟาร์มผสมผสาน,103 หมู่บ้านหนองแก หมู่ที่ 11  ต.นาเพียง อ.ชุมแพ จ.ขอนแก่น 40130,,
54,0403558003141,หจ.ศรีสุระ เอ็นจิเนียริ่ง,6/10/2558," 1,000,000 ",การก่อสร้าง,5 หมู่ที่ 1  ต.หนองกุง อ.น้ำพอง จ.ขอนแก่น 40140,,
55,0405558002707,บจ.มาโฮม จำกัด,20/10/2558," 1,000,000 ",ประกอบกิจการรับเป็นที่ปรึกษา ออกแบบ บริหารโครงการ ควบคุมงาน และรับเหมาก่อสร้าง,503 หมู่ที่ 4  ต.น้ำพอง อ.น้ำพอง จ.ขอนแก่น 40140,,
56,0403558003132,หจ.มะโนวัน คอนสตรัคชั่น,6/10/2558," 1,000,000 ",รับเหมาก่อสร้าง,22 หมู่ที่ 7  ต.ท่าศาลา อ.มัญจาคีรี จ.ขอนแก่น 40160,,
57,0403558003396,หจ.มะโนวัน การโยธา,20/10/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้างอาคาร อาคารพาณืชย์ ที่พักอาศัย งานก่อสร้างและงานโยธาทุกประเภท,22 หมู่ที่ 7  ต.ท่าศาลา อ.มัญจาคีรี จ.ขอนแก่น 40160,,
58,0403558003086,หจ.ไลน์แมน ทราฟฟิค,1/10/2558," 1,000,000 ",รับเหมาก่อสร้าง,41 หมู่ที่ 4  ต.บ้านโนน อ.ซำสูง จ.ขอนแก่น 40170,,
59,0403558003281,หจ.แหนมสดป้าเจียวขอนแก่น,16/10/2558," 1,000,000 ",ผลิตและจำหน่ายอาหารแปรรูป อาหารพร้อมปรุง,171 หมู่ที่ 2  ต.ห้วยยาง อ.กระนวน จ.ขอนแก่น 40170,,
60,0405558002618,บจ.เอสพีพี อินสทรูเมนท์ เอ็นจิเนียริ่ง จำกัด,13/10/2558," 1,000,000 ",บำรุงรักษา ซ่อมแซม ออกแบบ ติดตั้งและบริการทางเทคนิคเครื่องจักร อุปกรณ์ไฟฟ้าและเครื่องมือวัด,59 หมู่ที่ 4  ต.โนนทัน อ.หนองเรือ จ.ขอนแก่น 40210,,
61,0403558003531,หจ.เรืองไทย คอนสตรัคชั่น 2015,30/10/2558," 1,000,000 ",รับเหมาก่อสร้าง,195/4 หมู่ที่ 15  ต.วังเพิ่ม อ.สีชมพู จ.ขอนแก่น 40220,,
62,0405558002880,บจ.จอส ดีไซน์ แอนด์ รีโนเวท จำกัด,30/10/2558," 1,000,000 ",ประกอบกิจการออกแบบ และรับเหมาก่อสร้างอาคาร แบบรายละเอียดงานโครงสร้างเหล็ก งานออกแบบ3มิติ รับปรึกษา,43 หมู่ที่ 9 บ้านแก่งศิลา  ต.เขื่อนอุบลรัตน์ อ.อุบลรัตน์ จ.ขอนแก่น 40250,,
63,0405558002570,บจ.รัฐประชา แคปปิตอล แอสเซท แมเนจเม้นท์ จำกัด,8/10/2558," 1,000,000 ",การให้กู้ยืมเงิน,205 หมู่ที่ 8  ต.หนองบัว อ.บ้านฝาง จ.ขอนแก่น 40270,,
64,0405558002588,บจ.รัฐประชาโฮลดิ้ง จำกัด,8/10/2558," 1,000,000 ",รับซื้อขายที่ดิน,205 หมู่ที่ 8  ต.หนองบัว อ.บ้านฝาง จ.ขอนแก่น 40270,,
65,0403558003540,หจ.จิรัฐกาล ก่อสร้าง,30/10/2558," 1,000,000 ",รับเหมาก่อสร้าง,212 หมู่ที่ 3  ต.หนองเขียด อ.ชุมแพ จ.ขอนแก่น 40290,,
66,0405558002651,บจ.ธนา แอนด์ ปันปัน เอ็นจิเนียริ่ง จำกัด,15/10/2558," 1,000,000 ",ประกอบกิจการรับติดตั้งงานไฟฟ้า เครื่องจักรกล,151 หมู่ที่ 4  ต.สะอาด อ.น้ำพอง จ.ขอนแก่น 40310,,
67,0403558003353,หจ.พันทวีโชค เรดิโอ,20/10/2558," 600,000 ",สถานีวิทยุและโทรทัศน์,42/2 หมู่ที่ 7  ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
68,0403558003361,หจ.บิ๊กบอมบ์ เรดิโอ,20/10/2558," 600,000 ",สถานีวิทยุโทรทัศน์,42/2 หมู่ที่ 7  ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
69,0403558003370,หจ.ทวีพัน เรดิโอ,20/10/2558," 600,000 ",สถานีวิทยุและโทรทัศน์,42/2 หมู่ที่ 7  ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
70,0403558003388,หจ.ศรีเชียงใหม่ เรดิโอ,20/10/2558," 600,000 ",สถานีวิทยุและโทรทัศน์,42/2 หมู่ที่ 7  ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
71,0403558003442,หจ.วานรทิพย์ เรดิโอ,26/10/2558," 600,000 ",สถานีวิทยุและโทรทัศน์  ผลิตสื่อโฆษณาและจำหน่ายเครื่องอุปกรณ์สื่อสารทุกชนิด,42/2 หมู่ที่ 7  ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
72,0403558003451,หจ.ท่านขุน เรดิโอ,26/10/2558," 600,000 ",สถานีวิทยุและโทรทัศน์ และผลิตสื่อโฆษณาและจำหน่ายเครื่องอุปกรณ์สื่อสารทุกชนิด,42/2 หมู่ที่ 7  ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
73,0403558003116,หจ.คิว แอคเค้าท์,5/10/2558," 500,000 ",ให้บริการรับทำบัญชีและตรวจสอบบัญชี,232/218 หมู่ที่ 6  ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
74,0403558003272,หจ.เอฟ.ที.ดับบลิว. ซีวิลเอ็นจีเนียร์,16/10/2558," 500,000 ",รับเหมาก่อสร้าง,156/6 หมู่ที่ 4  ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
75,0403558003469,หจ.อ.ก่อเจริญวิศวกรรม,26/10/2558," 500,000 ",รับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารที่พักอาศัย สถานที่ทำการ ถนน ฯลฯ,56/14 หมู่ที่ 11  ต.เมืองเก่า อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
76,0405558002715,บจ.อดิลาร์ด จำกัด,21/10/2558," 500,000 ",การขายส่งสินค้าทั่วไปโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,485/26 หมู่ที่ 1 ถนนเอี่ยมประเสริฐ  ต.ในเมือง อ.บ้านไผ่ จ.ขอนแก่น 40110,,
77,0403558003311,หจ.ติ้งบิ๊ก โกลบอล,16/10/2558," 500,000 ",ขายตรงสินค้าอุปโภคบริโภคทุกชนิด เช่น อาหารสุขภาพ เครื่องสำอาง ของใช้ในครัวเรือน,34 หมู่ที่ 1  ต.หนองไผ่ อ.ชุมแพ จ.ขอนแก่น 40130,,
78,0403558003507,หจ.สิงห์ ซีซีทีวี ซิสเท็ม,29/10/2558," 500,000 ",นำเข้ากล้องโทรทัศน์วงจรปิดและอุปกรณ์สัญญาณกันขโมย,442 หมู่ที่ 11  ต.หนองโก อ.กระนวน จ.ขอนแก่น 40170,,
79,0403558003191,หจ.ส.เจริญรุ่งเรืองค้าวัสดุ,9/10/2558," 500,000 ",รับเหมาก่อสร้างทุกชนิด,15 หมู่ที่ 14  ต.ดอนหัน อ.เมืองขอนแก่น จ.ขอนแก่น 40260,,
80,0403558003159,หจ.บ้านกรูคลับ,7/10/2558," 200,000 ",ประกอบกิจการบาร์ ไนท์คลับ ผับ,43/2 ถนนพิมพสุต  ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
81,0403558003400,หจ.เจริญทรัพย์ 1979,20/10/2558," 200,000 ",รับเหมาก่อสร้าง,75/7 หมู่ที่ 10 ถนนแจ้งสนิท(บ้านไผ่-บรบือ)  ต.ในเมือง อ.บ้านไผ่ จ.ขอนแก่น 40110,,
82,0403558003477,หจ.นิวดาวรุ่ง,26/10/2558," 100,000 ",รับให้คำปรึกษางานด้านบัญชี ภาษี  และให้เช่าห้องพัก อพาร์ทเม้น หอพัก,555 ถนนประชาสโมสร  ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
83,0403558003213,หจ.ประสิทธิ์ ซัพพลาย แอนด์ เซอร์วิส,13/10/2558," 80,000 ",รับเหมาก่อสร้าง  และรับออกแบบ,123 หมู่ที่ 2 หมู่บ้านหนองบะยาว  ต.ดงเค็ง อ.หนองสองห้อง จ.ขอนแก่น 40190,,
84,0405558002847,บจ.วิชั่นไนน์ เอดูเคชัน จำกัด,29/10/2558," 50,000 ",ประกอบกิจการให้บริการรับแนะแนวการศึกษาต่อต่างประเทศให้บริการจัดทำเอกสารประกอบการศึกษาต่อต่างประเทศ,666/111 ถนนกลางเมือง  ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
1,0415558001875,บจ.อุดร ช.ทวี จำกัด,1/10/2558," 300,000,000 ",ประกอบกิจการขายยานยนต์ใหม่ชนิดรถยนต์นั่งส่วนบุคคลรถกระบะรถตู้,83/20-26 ถนนทหาร  ต.หมากแข้ง อ.เมืองอุดรธานี จ.อุดรธานี 41000,,
2,0413558002594,หจ.พีโฟร์ อาร์ช แอนด์ คอนส์,15/10/2558," 5,000,000 ",ประกอบกิจการออกแบบและเขียนแบบสถาปัตยกรรม,212/8 ถนนข้างอำเภอ  ต.หมากแข้ง อ.เมืองอุดรธานี จ.อุดรธานี 41000,,
3,0415558002014,บจ.ซาร่า โฮม ช้อปปิ้ง จำกัด,29/10/2558," 5,000,000 ",จำหน่ายสินค้าเบ็ดเตล็ดต่างๆ ทุกชนิด,369/3 ถนนรอบเมือง(เก่าน้อย)  ต.หมากแข้ง อ.เมืองอุดรธานี จ.อุดรธานี 41000,,
4,0413558002454,หจ.โชคพรธนภัทร,5/10/2558," 5,000,000 ",ประกอบกิจการรับจ้างขน เคลื่อนย้าย หิน ดิน ทราย และแร่ธาตุทุกชนิด,1 หมู่ที่ 3  ต.ศรีธาตุ อ.ศรีธาตุ จ.อุดรธานี 41230,,
5,0413558002730,หจ.ธนภัทรเอ็นจิเนียริ่ง และ คอนสตรัคชั่นอินคอร์ปอเรชั่น,30/10/2558," 4,000,000 ",จำหน่ายและติดตั้งอุปกรณ์รักษาความปลอดภัย,7 หมู่ที่ 2  ต.หนองไผ่ อ.เมืองอุดรธานี จ.อุดรธานี 41000,,
6,0415558001930,บจ.ศิลป์ธนารินทร์ จำกัด,19/10/2558," 3,000,000 ",ประกอบกิจการค้าชิ้นส่วน อะไหล่เครื่องจักรกลหนัก,205/14 หมู่ที่ 2  ต.นาดี อ.เมืองอุดรธานี จ.อุดรธานี 41000,,
7,0413558002667,หจ.ไพโรจน์กราฟฟิค,26/10/2558," 2,000,000 ",ประกอบกิจการค้าครุภัณฑ์อุปกรณ์การเรียน,303/30 หมู่ที่ 2  ต.บ้านจั่น อ.เมืองอุดรธานี จ.อุดรธานี 41000,,
8,0415558001999,บจ.เดวิด เอ็ม สเมดเลย์ จำกัด,27/10/2558," 2,000,000 ",ประกอบกิจการซื้อขายอสังหาริมทรัพย์,457 หมู่ที่ 3  ต.บ้านจั่น อ.เมืองอุดรธานี จ.อุดรธานี 41000,,
9,0415558001905,บจ.แอมโฟร่า ไวน์(ประเทศไทย) จำกัด,8/10/2558," 2,000,000 ",ประกอบกิจการนำเข้าไวน์ และเป็นตัวแทนจำหน่ายไวน์จากประเทศออสเตรเลียและจากประเทศอื่น,157/4 หมู่ที่ 7  ต.ศรีสำราญ อ.น้ำโสม จ.อุดรธานี 41210,,
10,0413558002438,หจ.อัมพร ดีวิลอพเม้นท์,2/10/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,1/47 หมู่ที่ 14 ซอยบ้านเก่าจาน  ต.หมากแข้ง อ.เมืองอุดรธานี จ.อุดรธานี 41000,,
11,0413558002446,หจ.อู่ จรัสเรือง เซอร์วิส,2/10/2558," 1,000,000 ",ประกอบกิจการซ่อมเครื่องยนต์ รถยนต์ เครื่องจักรกล,223 หมู่ที่ 7  ต.หนองขอนกว้าง อ.เมืองอุดรธานี จ.อุดรธานี 41000,,
12,0413558002519,หจ.อรวรรยา การช่าง,8/10/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,15 หมู่ที่ 13  ต.หมูม่น อ.เมืองอุดรธานี จ.อุดรธานี 41000,,
13,0413558002527,หจ.มอดินแดง 24,8/10/2558," 1,000,000 ",ประกอบกิจการรับจ้างปรับพื้นที่ ถมที่ ขุด,234 หมู่ที่ 11  ต.บ้านตาด อ.เมืองอุดรธานี จ.อุดรธานี 41000,,
14,0413558002543,หจ.คุณธรรมนำโชคชัย,12/10/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,157/3 หมู่บ้านบ้านนาทราย หมู่ที่ 3  ต.หนองบัว อ.เมืองอุดรธานี จ.อุดรธานี 41000,,
15,0413558002578,หจ.พีพี เอ็นจิเนียริ่ง แอนด์ เซอร์วิส 2015,13/10/2558," 1,000,000 ",จำหน่ายผลิตภัณฑ์ เคมีภัณฑ์ อุปกรณ์ เครื่องมือสำหรับทำความสะอาดทุกชนิด,24/26 หมู่ที่ 2 ซอยบ้านม่วง  ต.หมากแข้ง อ.เมืองอุดรธานี จ.อุดรธานี 41000,,
16,0413558002608,หจ.เคพีที  รุ่งเรือง,16/10/2558," 1,000,000 ",ปนะกอบกิจการขนส่งสินค้า ปูนซีเมนต์,49/198 หมู่ที่ 5  ต.หนองบัว อ.เมืองอุดรธานี จ.อุดรธานี 41000,,
17,0413558002616,หจ.รุ่งเรืองประดับดาว(๒๕๗๙),19/10/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง รับเหมาถมดิน,639/134 หมู่ที่ 4  ต.บ้านเลื่อม อ.เมืองอุดรธานี จ.อุดรธานี 41000,,
18,0413558002691,หจ.เอ็น พี เอ็น.พัฒนา,26/10/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,122 หมู่ที่ 2  ต.บ้านเลื่อม อ.เมืองอุดรธานี จ.อุดรธานี 41000,,
19,0413558002713,หจ.อุดรคอมโพสิต,27/10/2558," 1,000,000 ",ประกอบกิจการบริการผลิตภัณฑ์โลหะประดิษฐ์อื่น ๆ การจัดทำป้าย,48/12 หมู่ที่ 4  ต.หนองขอนกว้าง อ.เมืองอุดรธานี จ.อุดรธานี 41000,,
20,0413558002721,หจ.ปัญปุญ พาทรัพย์เจริญ,28/10/2558," 1,000,000 ",ประกอบกิจการศูนย์กระจายสินค้า อุปโภค-บริโภค ทุกชนิด,40/95 หมู่ที่ 5  ต.หนองบัว อ.เมืองอุดรธานี จ.อุดรธานี 41000,,
21,0415558001883,บจ.เจเอ็น ออโต้ จำกัด,1/10/2558," 1,000,000 ",ประกอบกิจการซื้อขายแลกเปลี่ยนรถยนต์ใหม่ทุกชนิด,555/8 หมู่ที่ 7  ต.หนองบัว อ.เมืองอุดรธานี จ.อุดรธานี 41000,,
22,0415558001913,บจ.เจแอนด์ที ไวท์ ซีเครท จำกัด,9/10/2558," 1,000,000 ",ประกอบกิจการค้าผลิตภัณฑ์เสริมอาหารลดน้ำหนัก และผิวขาว,76/16 ถนนบ้านโนน  ต.หมากแข้ง อ.เมืองอุดรธานี จ.อุดรธานี 41000,,
23,0415558001921,บจ.เศรษฐ์ธนา เทรดดิ้ง จำกัด,9/10/2558," 1,000,000 ",การขายส่งสินค้าทั่วไปโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,81/11 หมู่ที่ 5  ต.หนองบัว อ.เมืองอุดรธานี จ.อุดรธานี 41000,,
24,0415558001948,บจ.ราชบุรี เวสต์ ดีเวลลอปเม้นท์ จำกัด,20/10/2558," 1,000,000 ",ประกอบกิจการรับจ้างติดตั้งเดินสายไฟภายในอาคาร,502 หมู่ที่ 1  ต.นาข่า อ.เมืองอุดรธานี จ.อุดรธานี 41000,,
25,0415558001956,บจ.กาญจนบุรี เวสต์ ดีเวลลอปเม้นท์ จำกัด,20/10/2558," 1,000,000 ",ประกอบกิจการรับจ้างติดตั้งเดินสายไฟภายในอาคารและรับติดตั้งวางระบบไฟฟ้ากำลัง,502 หมู่ที่ 1  ต.นาข่า อ.เมืองอุดรธานี จ.อุดรธานี 41000,,
26,0415558001964,บจ.ลพบุรี เวสต์ ดีเวลลอปเม้นท์ จำกัด,20/10/2558," 1,000,000 ",ประกอบกิจการรับจ้างติดตั้งเดินสายไฟภายในอาคาร,502 หมู่ที่ 1  ต.นาข่า อ.เมืองอุดรธานี จ.อุดรธานี 41000,,
